"gene_id","species","expression_id","id_type","source_info","gene_name","hog_id","og_id"
"CAGL0A00979g","glabrata","CAGL0A00979g","CAGL0","original","","N1.HOG0001933","OG0001693"
"CAGL0A01001g","glabrata","CAGL0A01001g","CAGL0","original","","N1.HOG0003338","OG0003098"
"CAGL0A01023g","glabrata","CAGL0A01023g","CAGL0","original","","N1.HOG0001288","OG0001047"
"CAGL0A01045g","glabrata","CAGL0A01045g","CAGL0","original","","N1.HOG0000921","OG0000686"
"CAGL0A01067g","glabrata","CAGL0A01067g","CAGL0","original","","N1.HOG0003550","OG0003308"
"CAGL0A01089g","glabrata","CAGL0A01089g","CAGL0","original","","N1.HOG0004815","OG0004583"
"CAGL0A01111g","glabrata","CAGL0A01111g","CAGL0","original","","N1.HOG0004285","OG0004048"
"CAGL0A01133g","glabrata","CAGL0A01133g","CAGL0","original","","N1.HOG0000384","OG0000220"
"CAGL0A01155g","glabrata","CAGL0A01155g","CAGL0","original","","N1.HOG0003505","OG0003263"
"CAGL0A01177g","glabrata","CAGL0A01177g","CAGL0","original","","N1.HOG0003748","OG0003509"
"CAGL0A01193g","glabrata","CAGL0A01193g","CAGL0","original","","N1.HOG0005896","OG0005760"
"CAGL0A01199g","glabrata","CAGL0A01199g","CAGL0","original","DIP5","N1.HOG0000993","OG0000756"
"CAGL0A01221g","glabrata","CAGL0A01221g","CAGL0","original","","N1.HOG0000784","OG0000552"
"CAGL0A01243g","glabrata","CAGL0A01243g","CAGL0","original","GIT1","N1.HOG0000350","OG0000198"
"CAGL0A01284g","glabrata","CAGL0A01284g","CAGL0","original","EPA10","N1.HOG0000000","OG0000000"
"CAGL0A01325g","glabrata","CAGL0A01325g","CAGL0","original","PGD1","N1.HOG0004302","OG0004065"
"CAGL0A01366g","glabrata","CAGL0A01366g","CAGL0","original","EPA9","N1.HOG0000000","OG0000000"
"CAGL0A01408g","glabrata","CAGL0A01408g","CAGL0","original","","N1.HOG0004302","OG0004065"
"CAGL0A01430g","glabrata","CAGL0A01430g","CAGL0","original","TRP5","N1.HOG0002578","OG0002338"
"CAGL0A01452g","glabrata","CAGL0A01452g","CAGL0","original","","N1.HOG0002211","OG0001971"
"CAGL0A01474g","glabrata","CAGL0A01474g","CAGL0","original","","N1.HOG0000720","OG0000491"
"CAGL0A01540g","glabrata","CAGL0A01540g","CAGL0","original","","N1.HOG0001769","OG0001529"
"CAGL0A01562g","glabrata","CAGL0A01562g","CAGL0","original","","N1.HOG0001227","OG0000988"
"CAGL0A01584g","glabrata","CAGL0A01584g","CAGL0","original","","N1.HOG0004816","OG0004584"
"CAGL0A01606g","glabrata","CAGL0A01606g","CAGL0","original","","N1.HOG0004117","OG0003881"
"CAGL0A01628g","glabrata","CAGL0A01628g","CAGL0","original","MIG1","N1.HOG0000226","OG0000131"
"CAGL0A01650g","glabrata","CAGL0A01650g","CAGL0","original","","N1.HOG0001222","OG0000983"
"CAGL0A01672g","glabrata","CAGL0A01672g","CAGL0","original","","N1.HOG0003083","OG0002843"
"CAGL0A01694g","glabrata","CAGL0A01694g","CAGL0","original","","N1.HOG0004447","OG0004211"
"CAGL0A01716g","glabrata","CAGL0A01716g","CAGL0","original","","N1.HOG0002040","OG0001800"
"CAGL0A01738g","glabrata","CAGL0A01738g","CAGL0","original","","N1.HOG0000354","OG0000200"
"CAGL0A01760g","glabrata","CAGL0A01760g","CAGL0","original","","N1.HOG0000781","OG0000549"
"CAGL0A01782g","glabrata","CAGL0A01782g","CAGL0","original","","N1.HOG0000001","OG0000001"
"CAGL0A01804g","glabrata","CAGL0A01804g","CAGL0","original","","N1.HOG0000001","OG0000001"
"CAGL0A01826g","glabrata","CAGL0A01826g","CAGL0","original","","N1.HOG0000001","OG0000001"
"CAGL0A01848g","glabrata","CAGL0A01848g","CAGL0","original","","N1.HOG0001814","OG0001574"
"CAGL0A01870g","glabrata","CAGL0A01870g","CAGL0","original","","N1.HOG0004303","OG0004066"
"CAGL0A01914g","glabrata","CAGL0A01914g","CAGL0","original","","N1.HOG0003557","OG0003315"
"CAGL0A01958g","glabrata","CAGL0A01958g","CAGL0","original","","N1.HOG0001720","OG0001480"
"CAGL0A01980g","glabrata","CAGL0A01980g","CAGL0","original","","N1.HOG0003600","OG0003358"
"CAGL0A02002g","glabrata","CAGL0A02002g","CAGL0","original","","N1.HOG0004304","OG0004067"
"CAGL0A02024g","glabrata","CAGL0A02024g","CAGL0","original","","N1.HOG0004817","OG0004585"
"CAGL0A02046g","glabrata","CAGL0A02046g","CAGL0","original","","N1.HOG0000181","OG0000103"
"CAGL0A02090g","glabrata","CAGL0A02090g","CAGL0","original","","N1.HOG0001434","OG0001194"
"CAGL0A02112g","glabrata","CAGL0A02112g","CAGL0","original","","N1.HOG0001759","OG0001519"
"CAGL0A02134g","glabrata","CAGL0A02134g","CAGL0","original","","N1.HOG0004448","OG0004212"
"CAGL0A02145g","glabrata","CAGL0A02145g","CAGL0","original","","N1.HOG0000576","OG0000357"
"CAGL0A02189g","glabrata","CAGL0A02189g","CAGL0","original","","N1.HOG0000781","OG0000549"
"CAGL0A02211g","glabrata","CAGL0A02211g","CAGL0","original","","N1.HOG0000001","OG0000001"
"CAGL0A02233g","glabrata","CAGL0A02233g","CAGL0","original","","N1.HOG0000001","OG0000001"
"CAGL0A02255g","glabrata","CAGL0A02255g","CAGL0","original","","N1.HOG0004210","OG0003972"
"CAGL0A02299g","glabrata","CAGL0A02299g","CAGL0","original","","N1.HOG0004210","OG0003972"
