Bin index,yH299-parent-pool3,yH299-parent-pool3 rank
CP048234.1-12,50,261
CP048234.1-13,54,230
CP048234.1-14,41,356
CP048234.1-15,28,575
CP048234.1-16,20,791
CP048234.1-17,21,760
CP048234.1-18,21,761
CP048234.1-19,68,137
CP048234.1-20,73,122
CP048234.1-21,63,167
CP048234.1-22,76,109
CP048234.1-23,177,9
CP048234.1-24,59,191
CP048234.1-25,76,110
CP048234.1-26,107,47
CP048234.1-27,63,168
CP048234.1-28,65,151
CP048234.1-29,54,231
CP048234.1-30,78,99
CP048234.1-31,102,52
CP048234.1-32,48,289
CP048234.1-33,34,467
CP048234.1-34,16,895
CP048234.1-35,18,835
CP048234.1-36,64,158
CP048234.1-37,35,448
CP048234.1-38,26,618
CP048234.1-39,66,143
CP048234.1-40,24,671
CP048234.1-41,36,436
CP048234.1-42,19,815
CP048234.1-43,65,152
CP048234.1-44,95,62
CP048234.1-45,33,487
CP048234.1-46,55,224
CP048234.1-47,41,357
CP048234.1-48,11,1039
CP048234.1-49,64,159
CP048234.1-50,70,131
CP048234.1-51,10,1069
CP048234.1-52,30,530
CP048234.1-53,24,672
CP048234.1-54,12,1009
CP048234.1-55,14,962
CP048234.1-56,41,358
CP048234.1-57,65,153
CP048234.1-58,50,262
CP048234.1-59,21,762
CP048234.1-60,11,1040
CP048234.1-61,41,359
CP048234.1-62,53,237
CP048234.1-63,44,321
CP048234.1-64,41,360
CP048234.1-65,23,704
CP048234.1-66,42,347
CP048234.1-67,12,1010
CP048234.1-68,2,1222
CP048234.1-69,0,1250
CP048234.1-70,1,1236
CP048235.1-0,3,1214
CP048235.1-1,0,1251
CP048235.1-2,2,1223
CP048235.1-3,45,311
CP048235.1-4,49,279
CP048235.1-5,83,88
CP048235.1-6,7,1138
CP048235.1-7,52,243
CP048235.1-8,88,72
CP048235.1-9,23,705
CP048235.1-10,33,488
CP048235.1-11,12,1011
CP048235.1-12,31,516
CP048235.1-13,23,706
CP048235.1-14,97,58
CP048235.1-15,35,449
CP048235.1-16,139,22
CP048235.1-17,16,896
CP048235.1-18,65,154
CP048235.1-19,66,144
CP048235.1-20,86,81
CP048235.1-21,16,897
CP048235.1-22,39,392
CP048235.1-23,97,59
CP048235.1-24,200,5
CP048235.1-25,87,76
CP048235.1-26,35,450
CP048235.1-27,78,100
