bin_start_bp	mean_reads_across_arms	n_arms
330000	763.409	22
331000	503.636	22
332000	812.5	22
333000	613.5	22
334000	453.5	22
335000	333.409	22
336000	494.091	22
337000	342.955	22
338000	1314.45	22
339000	1192.32	22
340000	385.273	22
341000	435.045	22
342000	402	22
343000	959.636	22
344000	322.955	22
345000	96.0909	22
346000	639.455	22
347000	1109.64	22
348000	775.364	22
349000	951.5	22
350000	685.545	22
351000	2498.27	22
352000	505.545	22
353000	1457.91	22
354000	2557.27	22
355000	1957.64	22
356000	1001.59	22
357000	400.591	22
358000	819.227	22
359000	1219.73	22
360000	670.591	22
361000	760.591	22
362000	862.818	22
363000	1487.5	22
364000	1326.32	22
365000	1570.23	22
366000	1841.45	22
367000	924.5	22
368000	457.182	22
369000	831.727	22
370000	673.227	22
371000	616.318	22
372000	711.636	22
373000	1307.5	22
374000	940.727	22
375000	575.636	22
376000	1501.32	22
377000	792.864	22
378000	1692.91	22
379000	258.136	22
380000	560.773	22
381000	1802.82	22
382000	953.091	22
383000	649.182	22
384000	1551.91	22
385000	401.682	22
386000	817.773	22
387000	341.591	22
388000	2064	22
389000	1593.05	22
390000	1412.68	22
391000	428.591	22
392000	70.5	22
393000	296.273	22
394000	1230.73	22
395000	1939.32	22
396000	1989.77	22
397000	531.5	22
398000	834.182	22
399000	1424.77	22
400000	434.318	22
401000	430.136	22
402000	901.364	22
403000	119.273	22
404000	1404.73	22
405000	900.636	22
406000	49.5909	22
407000	688.727	22
408000	210.455	22
409000	151.773	22
410000	760.045	22
411000	821.318	22
412000	126.545	22
413000	963.773	22
414000	364.091	22
415000	228.409	22
416000	513.5	22
417000	233	22
418000	436.364	22
419000	164.545	22
420000	300.409	22
421000	1657.32	22
422000	407	22
423000	639.864	22
424000	733.955	22
425000	440.136	22
426000	373.045	22
427000	378.591	22
428000	931.227	22
429000	138.5	22
430000	187.136	22
431000	549.091	22
432000	377.091	22
433000	183.227	22
434000	657.318	22
435000	544.636	22
436000	498.864	22
437000	445.136	22
438000	308.136	22
439000	399.682	22
440000	409.682	22
441000	365.273	22
442000	475.682	22
443000	671.955	22
444000	1087.36	22
445000	657.091	22
446000	267.273	22
447000	364.818	22
448000	191.455	22
449000	66.4545	22
450000	402.909	22
451000	253.909	22
452000	865.364	22
453000	1384.77	22
454000	260.273	22
455000	289.364	22
456000	287.682	22
457000	1158.36	22
458000	414.864	22
459000	295.136	22
460000	485.682	22
461000	949.182	22
462000	491.182	22
463000	455.227	22
464000	369.909	22
465000	474.045	22
466000	71.0909	22
467000	988.955	22
468000	952.045	22
469000	1218.68	22
470000	778.773	22
471000	267.727	22
472000	334.182	22
473000	1080.45	22
474000	678.364	22
475000	1038.64	22
476000	830.227	22
477000	1365.32	22
478000	1137.45	22
479000	570.182	22
480000	497.227	22
481000	237.182	22
482000	370.227	22
483000	809.409	22
484000	1010.09	22
485000	842.773	22
486000	1340.27	22
487000	540.409	22
488000	1244.09	22
489000	876.818	22
490000	358.818	22
491000	601.818	22
492000	410.682	22
493000	182.682	22
494000	149.045	22
495000	502.864	22
496000	1729.82	22
497000	408.591	22
498000	523.273	22
499000	277.591	22
500000	319.636	22
