target,target_tag,sample,condition,raw_hit_sites,normalized_hit_sites,hit_site_retention_fraction,hit_site_loss_fraction,raw_total_reads,normalized_total_reads,raw_percent_features_hit,normalized_percent_features_hit,normalized_hits_file,status,warning
102400,T102400,yH298-parent-pool1,parent,64018,64018,1.0,0.0,24416746,24416746,NA,NA,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/sample_normalization/T102400/yH298-parent-pool1/yH298-parent-pool1_normalized_hits.txt,success,Normalized feature-level metrics require SummaryTable on normalized hits in a later step.
102400,T102400,yH298-parent-pool2,parent,91892,91892,1.0,0.0,33901264,33901264,NA,NA,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/sample_normalization/T102400/yH298-parent-pool2/yH298-parent-pool2_normalized_hits.txt,success,Normalized feature-level metrics require SummaryTable on normalized hits in a later step.
102400,T102400,yH299-parent-pool3,parent,44068,44068,1.0,0.0,25534450,25534450,NA,NA,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/sample_normalization/T102400/yH299-parent-pool3/yH299-parent-pool3_normalized_hits.txt,success,Normalized feature-level metrics require SummaryTable on normalized hits in a later step.
102400,T102400,yH299-parent-pool4,parent,26507,26507,1.0,0.0,17785287,17785287,NA,NA,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/sample_normalization/T102400/yH299-parent-pool4/yH299-parent-pool4_normalized_hits.txt,success,Normalized feature-level metrics require SummaryTable on normalized hits in a later step.
