Standard name,Common name,Type,Lib yH298-parent-pool1
GWK60_C03927,GWK60_C03927,ORF,4
GWK60_C03949,GWK60_C03949,ORF,0
GWK60_C03971,ATP16,ORF,0
GWK60_C03993,MED2,ORF,16
GWK60_C04015,GWK60_C04015,ORF,4
GWK60_C04059,GWK60_C04059,ORF,25
GWK60_C04081,GWK60_C04081,ORF,3
GWK60_C04103,GWK60_C04103,ORF,18
GWK60_C04125,GWK60_C04125,ORF,12
GWK60_C04147,GWK60_C04147,ORF,10
GWK60_C04191,GWK60_C04191,ORF,0
GWK60_C04213,GWK60_C04213,ORF,3
GWK60_C04235,SOD1,ORF,2
GWK60_C04257,GWK60_C04257,ORF,87
GWK60_C04279,GWK60_C04279,ORF,22
GWK60_C04301,GWK60_C04301,ORF,1
GWK60_C04323,GWK60_C04323,ORF,1
GWK60_C04345,GWK60_C04345,ORF,0
GWK60_C04367,GWK60_C04367,ORF,46
GWK60_C04389,GWK60_C04389,ORF,23
GWK60_C04411,GWK60_C04411,ORF,28
GWK60_C04433,GWK60_C04433,ORF,1
GWK60_C04455,GWK60_C04455,ORF,6
GWK60_C04477,GWK60_C04477,ORF,93
GWK60_C04499,ADO1,ORF,2
GWK60_C04521,GWK60_C04521,ORF,1
GWK60_C04543,GWK60_C04543,ORF,14
GWK60_C04565,GWK60_C04565,ORF,12
GWK60_C04587,GWK60_C04587,ORF,9
GWK60_C04609,GWK60_C04609,ORF,4
GWK60_C04631,ARG1,ORF,12
GWK60_C04653,GPD2,ORF,4
GWK60_C04675,HLP,ORF,9
GWK60_C04697,GWK60_C04697,ORF,4
GWK60_C04719,GWK60_C04719,ORF,4
GWK60_C04741,GWK60_C04741,ORF,12
GWK60_C04763,MET22,ORF,4
GWK60_C04785,GWK60_C04785,ORF,3
GWK60_C04807,GWK60_C04807,ORF,4
GWK60_C04829,GWK60_C04829,ORF,4
GWK60_C04851,RTG1,ORF,1
GWK60_C04873,HST1,ORF,7
GWK60_C04895,SSB1,ORF,10
GWK60_C04917,GWK60_C04917,ORF,9
GWK60_C04939,GWK60_C04939,ORF,7
GWK60_C04961,GWK60_C04961,ORF,0
GWK60_C04983,GWK60_C04983,ORF,1
GWK60_C05005,GWK60_C05005,ORF,2
GWK60_C05027,GWK60_C05027,ORF,1
GWK60_C05049,GWK60_C05049,ORF,8
GWK60_C05071,GWK60_C05071,ORF,3
GWK60_C05093,GWK60_C05093,ORF,2
GWK60_C05115,GWK60_C05115,ORF,7
GWK60_C05137,EPA25,ORF,0
GWK60_C05159,EPA26,ORF,0
GWK60_D00011,GWK60_D00011,ORF,0
GWK60_D00033,GWK60_D00033,ORF,1
GWK60_D00055,GWK60_D00055,ORF,71
GWK60_D00077,GWK60_D00077,ORF,1
GWK60_D00099,ERG20,ORF,0
GWK60_D00121,GWK60_D00121,ORF,0
GWK60_D00143,GWK60_D00143,ORF,0
GWK60_D00165,GWK60_D00165,ORF,0
GWK60_D00187,GWK60_D00187,ORF,0
GWK60_D00209,GWK60_D00209,ORF,5
GWK60_D00231,GWK60_D00231,ORF,0
GWK60_D00253,GWK60_D00253,ORF,2
GWK60_D00275,HSC82,ORF,0
GWK60_D00297,GWK60_D00297,ORF,0
GWK60_D00319,GWK60_D00319,ORF,1
GWK60_D00341,GWK60_D00341,ORF,2
GWK60_D00363,GWK60_D00363,ORF,1
GWK60_D00385,CNB1,ORF,0
GWK60_D00407,BMT1,ORF,3
GWK60_D00451,HYM1,ORF,0
GWK60_D00473,GWK60_D00473,ORF,0
GWK60_D00495,GWK60_D00495,ORF,6
GWK60_D00517,GWK60_D00517,ORF,11
GWK60_D00539,GWK60_D00539,ORF,0
GWK60_D00561,GWK60_D00561,ORF,2
GWK60_D00583,GWK60_D00583,ORF,0
GWK60_D00605,GWK60_D00605,ORF,43
GWK60_D00627,GWK60_D00627,ORF,1
GWK60_D00649,GWK60_D00649,ORF,0
GWK60_D00671,GWK60_D00671,ORF,0
GWK60_D00693,GWK60_D00693,ORF,4
GWK60_D00715,GWK60_D00715,ORF,0
GWK60_D00737,GWK60_D00737,ORF,1
GWK60_D00759,GWK60_D00759,ORF,1
GWK60_D00781,GWK60_D00781,ORF,8
GWK60_D00803,GWK60_D00803,ORF,2
GWK60_D00825,GWK60_D00825,ORF,2
GWK60_D00847,GWK60_D00847,ORF,0
GWK60_D00869,IDP1,ORF,5
GWK60_D00891,PEX19,ORF,0
GWK60_D00913,GWK60_D00913,ORF,0
GWK60_D00935,GWK60_D00935,ORF,1
GWK60_D00957,GWK60_D00957,ORF,0
GWK60_D00979,GWK60_D00979,ORF,0
GWK60_D01001,GWK60_D01001,ORF,0
GWK60_D01023,GWK60_D01023,ORF,2
GWK60_D01045,GWK60_D01045,ORF,1
GWK60_D01067,GWK60_D01067,ORF,0
GWK60_D01089,GWK60_D01089,ORF,0
GWK60_D01111,GWK60_D01111,ORF,0
GWK60_D01133,VIG9,ORF,2
GWK60_D01155,GWK60_D01155,ORF,11
GWK60_D01177,GWK60_D01177,ORF,1
GWK60_D01199,GWK60_D01199,ORF,3
GWK60_D01221,GWK60_D01221,ORF,0
GWK60_D01243,GWK60_D01243,ORF,1
GWK60_D01265,GWK60_D01265,ORF,4
GWK60_D01287,TEF1,ORF,1
GWK60_D01309,GWK60_D01309,ORF,5
GWK60_D01331,GWK60_D01331,ORF,1
GWK60_D01353,GWK60_D01353,ORF,8
GWK60_D01375,MT-I,ORF,1
GWK60_D01397,GWK60_D01397,ORF,3
GWK60_D01419,TKL1,ORF,1
GWK60_D01441,GWK60_D01441,ORF,1
GWK60_D01463,GWK60_D01463,ORF,1
GWK60_D01485,CYC8,ORF,5
GWK60_D01507,MED1,ORF,1
GWK60_D01529,SPE3,ORF,0
GWK60_D01551,GWK60_D01551,ORF,0
GWK60_D01573,GWK60_D01573,ORF,0
GWK60_D01595,GWK60_D01595,ORF,3
GWK60_D01617,GWK60_D01617,ORF,0
GWK60_D01639,GWK60_D01639,ORF,2
GWK60_D01661,GWK60_D01661,ORF,2
GWK60_D01683,FCY1,ORF,1
GWK60_D01705,GWK60_D01705,ORF,2
GWK60_D01727,GWK60_D01727,ORF,0
GWK60_D01749,GWK60_D01749,ORF,0
GWK60_D01771,GWK60_D01771,ORF,0
GWK60_D01793,GWK60_D01793,ORF,2
GWK60_D01815,GWK60_D01815,ORF,4
GWK60_D01837,GWK60_D01837,ORF,0
GWK60_D01859,GWK60_D01859,ORF,0
GWK60_D01881,GWK60_D01881,ORF,1
GWK60_D01903,GWK60_D01903,ORF,2
GWK60_D01925,GWK60_D01925,ORF,2
GWK60_D01947,GWK60_D01947,ORF,5
GWK60_D01969,GWK60_D01969,ORF,1
GWK60_D02013,GWK60_D02013,ORF,4
GWK60_D02035,GWK60_D02035,ORF,0
GWK60_D02057,SNF7,ORF,0
GWK60_D02079,GWK60_D02079,ORF,1
GWK60_D02101,GWK60_D02101,ORF,2
GWK60_D02123,GWK60_D02123,ORF,0
GWK60_D02145,GWK60_D02145,ORF,0
GWK60_D02167,GWK60_D02167,ORF,0
GWK60_D02189,GWK60_D02189,ORF,0
GWK60_D02211,GWK60_D02211,ORF,4
GWK60_D02233,ASC1,ORF,0
GWK60_D02255,GWK60_D02255,ORF,1
GWK60_D02277,GWK60_D02277,ORF,1
GWK60_D02299,GWK60_D02299,ORF,0
GWK60_D02321,GWK60_D02321,ORF,0
GWK60_D02343,GWK60_D02343,ORF,1
GWK60_D02365,GWK60_D02365,ORF,0
GWK60_D02387,GWK60_D02387,ORF,1
GWK60_D02409,GWK60_D02409,ORF,1
GWK60_D02431,GWK60_D02431,ORF,1
GWK60_D02453,GWK60_D02453,ORF,0
GWK60_D02475,GWK60_D02475,ORF,1
GWK60_D02497,GWK60_D02497,ORF,1
GWK60_D02519,GWK60_D02519,ORF,0
GWK60_D02541,GWK60_D02541,ORF,0
GWK60_D02563,GWK60_D02563,ORF,0
GWK60_D02585,GWK60_D02585,ORF,0
GWK60_D02607,LEM3,ORF,1
GWK60_D02629,GWK60_D02629,ORF,1
GWK60_D02651,GWK60_D02651,ORF,1
GWK60_D02673,GWK60_D02673,ORF,1
GWK60_D02695,EGT2,ORF,3
GWK60_D02717,GWK60_D02717,ORF,3
GWK60_D02739,PEX6,ORF,0
GWK60_D02761,GWK60_D02761,ORF,0
GWK60_D02783,PEX11,ORF,2
GWK60_D02805,GWK60_D02805,ORF,0
GWK60_D02827,GWK60_D02827,ORF,0
GWK60_D02849,GWK60_D02849,ORF,0
GWK60_D02871,GWK60_D02871,ORF,0
GWK60_D02893,GWK60_D02893,ORF,3
GWK60_D02915,GWK60_D02915,ORF,0
GWK60_D02937,GWK60_D02937,ORF,2
GWK60_D02959,GWK60_D02959,ORF,5
GWK60_D02981,GWK60_D02981,ORF,0
GWK60_D03003,GWK60_D03003,ORF,0
GWK60_D03025,GWK60_D03025,ORF,0
GWK60_D03047,GWK60_D03047,ORF,3
GWK60_D03069,GWK60_D03069,ORF,3
GWK60_D03091,GWK60_D03091,ORF,7
GWK60_D03113,KAR2,ORF,0
GWK60_D03135,GWK60_D03135,ORF,3
GWK60_D03157,GWK60_D03157,ORF,0
GWK60_D03179,CCT8,ORF,0
GWK60_D03201,GWK60_D03201,ORF,2
GWK60_D03223,GWK60_D03223,ORF,1
GWK60_D03245,GWK60_D03245,ORF,0
GWK60_D03267,GWK60_D03267,ORF,0
GWK60_D03289,GWK60_D03289,ORF,0
GWK60_D03311,GWK60_D03311,ORF,0
GWK60_D03333,GWK60_D03333,ORF,0
GWK60_D03355,MEU1,ORF,2
GWK60_D03377,GWK60_D03377,ORF,1
GWK60_D03399,GWK60_D03399,ORF,2
GWK60_D03421,GWK60_D03421,ORF,2
GWK60_D03443,GWK60_D03443,ORF,4
GWK60_D03465,GWK60_D03465,ORF,0
GWK60_D03487,GWK60_D03487,ORF,7
GWK60_D03509,GWK60_D03509,ORF,8
GWK60_D03553,GWK60_D03553,ORF,2
GWK60_D03575,GWK60_D03575,ORF,0
GWK60_D03597,GWK60_D03597,ORF,0
GWK60_D03619,GWK60_D03619,ORF,5
GWK60_D03663,GWK60_D03663,ORF,0
GWK60_D03685,GWK60_D03685,ORF,1
GWK60_D03707,GWK60_D03707,ORF,0
GWK60_D03729,GWK60_D03729,ORF,1
GWK60_D03751,ACP1,ORF,0
GWK60_D03773,GWK60_D03773,ORF,4
GWK60_D03795,GWK60_D03795,ORF,0
GWK60_D03817,GWK60_D03817,ORF,3
GWK60_D03839,GWK60_D03839,ORF,1
GWK60_D03861,GWK60_D03861,ORF,3
GWK60_D03883,TIF5,ORF,0
GWK60_D03905,GWK60_D03905,ORF,0
GWK60_D03927,GWK60_D03927,ORF,0
GWK60_D03949,GWK60_D03949,ORF,1
GWK60_D03971,GWK60_D03971,ORF,2
GWK60_D03993,GWK60_D03993,ORF,0
GWK60_D04015,GWK60_D04015,ORF,0
GWK60_D04037,GWK60_D04037,ORF,1
GWK60_D04059,PRO1,ORF,2
GWK60_D04081,GWK60_D04081,ORF,2
GWK60_D04103,GWK60_D04103,ORF,3
GWK60_D04125,GWK60_D04125,ORF,0
GWK60_D04147,GWK60_D04147,ORF,5
GWK60_D04169,GWK60_D04169,ORF,2
GWK60_D04191,GWK60_D04191,ORF,5
GWK60_D04213,GWK60_D04213,ORF,1
GWK60_D04235,GWK60_D04235,ORF,2
GWK60_D04257,DOG2,ORF,2
GWK60_D04279,NCP1,ORF,0
GWK60_D04301,GWK60_D04301,ORF,0
GWK60_D04323,GWK60_D04323,ORF,1
GWK60_D04345,GWK60_D04345,ORF,0
GWK60_D04367,GWK60_D04367,ORF,0
GWK60_D04411,GWK60_D04411,ORF,1
GWK60_D04433,GWK60_D04433,ORF,1
GWK60_D04455,SEC14,ORF,0
GWK60_D04477,GWK60_D04477,ORF,6
GWK60_D04521,GWK60_D04521,ORF,24
GWK60_D04543,GWK60_D04543,ORF,2
GWK60_D04565,GWK60_D04565,ORF,0
GWK60_D04587,GWK60_D04587,ORF,1
GWK60_D04609,GWK60_D04609,ORF,0
GWK60_D04631,GWK60_D04631,ORF,0
GWK60_D04653,GWK60_D04653,ORF,0
GWK60_D04675,GWK60_D04675,ORF,2
GWK60_D04697,GWK60_D04697,ORF,9
GWK60_D04741,MRI1,ORF,2
GWK60_D04785,GWK60_D04785,ORF,0
GWK60_D04807,GWK60_D04807,ORF,2
GWK60_D04851,GWK60_D04851,ORF,20
GWK60_D04873,GWK60_D04873,ORF,3
GWK60_D04895,GWK60_D04895,ORF,3
GWK60_D04917,GWK60_D04917,ORF,3
GWK60_D04939,GWK60_D04939,ORF,6
GWK60_D04961,GWK60_D04961,ORF,0
GWK60_D04983,GWK60_D04983,ORF,2
GWK60_D05005,GWK60_D05005,ORF,0
GWK60_D05027,GWK60_D05027,ORF,5
GWK60_D05049,GWK60_D05049,ORF,0
GWK60_D05071,GWK60_D05071,ORF,0
GWK60_D05115,GWK60_D05115,ORF,2
GWK60_D05137,GWK60_D05137,ORF,0
GWK60_D05159,GWK60_D05159,ORF,1
GWK60_D05181,KAR3,ORF,0
GWK60_D05203,GWK60_D05203,ORF,0
GWK60_D05247,GWK60_D05247,ORF,8
GWK60_D05269,GWK60_D05269,ORF,4
GWK60_D05291,GWK60_D05291,ORF,6
GWK60_D05335,GWK60_D05335,ORF,4
GWK60_D05357,PHO4,ORF,10
GWK60_D05379,GWK60_D05379,ORF,3
GWK60_D05401,GWK60_D05401,ORF,1
GWK60_D05423,GWK60_D05423,ORF,1
GWK60_D05445,GWK60_D05445,ORF,1
GWK60_D05467,GWK60_D05467,ORF,15
GWK60_D05489,GWK60_D05489,ORF,0
GWK60_D05511,GWK60_D05511,ORF,1
GWK60_D05533,GWK60_D05533,ORF,1
GWK60_D05555,GWK60_D05555,ORF,1
GWK60_D05577,GWK60_D05577,ORF,0
GWK60_D05621,GWK60_D05621,ORF,1
GWK60_D05643,ROX1,ORF,0
GWK60_D05665,GWK60_D05665,ORF,1
GWK60_D05687,GWK60_D05687,ORF,4
GWK60_D05709,GWK60_D05709,ORF,3
GWK60_D05731,GWK60_D05731,ORF,7
GWK60_D05753,GWK60_D05753,ORF,16
GWK60_D05775,GWK60_D05775,ORF,2
GWK60_D05797,GWK60_D05797,ORF,6
GWK60_D05819,GWK60_D05819,ORF,4
GWK60_D05841,GWK60_D05841,ORF,7
GWK60_D05863,GWK60_D05863,ORF,10
GWK60_D05885,GWK60_D05885,ORF,0
GWK60_D05907,GWK60_D05907,ORF,20
GWK60_D05929,GWK60_D05929,ORF,1
GWK60_D05951,GWK60_D05951,ORF,4
GWK60_D05973,GWK60_D05973,ORF,15
GWK60_D05995,GWK60_D05995,ORF,39
GWK60_D06017,GWK60_D06017,ORF,33
GWK60_D06039,GWK60_D06039,ORF,4
GWK60_D06061,GWK60_D06061,ORF,30
GWK60_D06083,ATF2,ORF,9
GWK60_D06105,ERG1,ORF,1
GWK60_D06127,GWK60_D06127,ORF,3
GWK60_D06171,GWK60_D06171,ORF,5
GWK60_D06193,GWK60_D06193,ORF,0
GWK60_D06215,GWK60_D06215,ORF,9
GWK60_D06259,GWK60_D06259,ORF,0
GWK60_D06303,HEM2,ORF,2
GWK60_D06325,GWK60_D06325,ORF,2
GWK60_D06347,GWK60_D06347,ORF,4
GWK60_D06369,GWK60_D06369,ORF,0
GWK60_D06391,GWK60_D06391,ORF,6
GWK60_D06413,GWK60_D06413,ORF,18
GWK60_D06457,GWK60_D06457,ORF,0
GWK60_D06479,GWK60_D06479,ORF,0
GWK60_D06501,GWK60_D06501,ORF,7
GWK60_D06523,GWK60_D06523,ORF,8
GWK60_D06567,GWK60_D06567,ORF,22
GWK60_D06589,MET15,ORF,32
GWK60_D06611,ACO1,ORF,0
GWK60_D06633,STT4,ORF,1
GWK60_D06655,GWK60_D06655,ORF,3
GWK60_D06677,GWK60_D06677,ORF,1
GWK60_D06699,GWK60_D06699,ORF,8
GWK60_D06721,GWK60_D06721,ORF,5
GWK60_D06743,GWK60_D06743,ORF,0
GWK60_D06765,GWK60_D06765,ORF,6
GWK60_D06787,GWK60_D06787,ORF,11
GWK60_D06809,GWK60_D06809,ORF,5
GWK60_D06831,GWK60_D06831,ORF,0
GWK60_D06853,ALD4,ORF,7
GWK60_D06875,GWK60_D06875,ORF,2
GWK60_D06897,EPA21,ORF,3
GWK60_E00011,EPA7,ORF,0
GWK60_E00033,GWK60_E00033,ORF,1
GWK60_E00055,GWK60_E00055,ORF,3
GWK60_E00077,EPA20,ORF,1
GWK60_E00121,MTL1a,ORF,0
GWK60_E00143,GWK60_E00143,ORF,0
GWK60_E00165,GWK60_E00165,ORF,3
GWK60_E00187,GWK60_E00187,ORF,4
GWK60_E00209,GWK60_E00209,ORF,4
GWK60_E00231,GWK60_E00231,ORF,0
GWK60_E00253,GWK60_E00253,ORF,4
GWK60_E00275,GWK60_E00275,ORF,4
GWK60_E00297,GWK60_E00297,ORF,1
GWK60_E00319,GWK60_E00319,ORF,3
GWK60_E00341,GWK60_E00341,ORF,2
GWK60_E00363,GWK60_E00363,ORF,4
GWK60_E00385,GWK60_E00385,ORF,0
GWK60_E00407,SRB8,ORF,1
GWK60_E00429,GWK60_E00429,ORF,2
GWK60_E00451,GWK60_E00451,ORF,0
GWK60_E00473,GWK60_E00473,ORF,0
GWK60_E00495,GWK60_E00495,ORF,1
GWK60_E00517,GWK60_E00517,ORF,3
GWK60_E00539,GWK60_E00539,ORF,0
GWK60_E00561,GWK60_E00561,ORF,0
GWK60_E00583,GWK60_E00583,ORF,9
GWK60_E00627,GWK60_E00627,ORF,0
GWK60_E00649,GWK60_E00649,ORF,1
GWK60_E00671,GWK60_E00671,ORF,1
GWK60_E00693,GWK60_E00693,ORF,0
GWK60_E00715,GWK60_E00715,ORF,0
GWK60_E00737,GWK60_E00737,ORF,0
GWK60_E00759,GWK60_E00759,ORF,0
GWK60_E00781,GWK60_E00781,ORF,0
GWK60_E00803,GWK60_E00803,ORF,1
GWK60_E00825,GWK60_E00825,ORF,2
GWK60_E00847,GWK60_E00847,ORF,0
GWK60_E00869,GWK60_E00869,ORF,8
GWK60_E00891,GWK60_E00891,ORF,2
GWK60_E00913,HOM2,ORF,4
GWK60_E00935,GWK60_E00935,ORF,1
GWK60_E00957,CPR1,ORF,3
GWK60_E00979,GWK60_E00979,ORF,7
GWK60_E01001,GWK60_E01001,ORF,6
GWK60_E01023,CTH2,ORF,2
GWK60_E01045,GWK60_E01045,ORF,9
GWK60_E01067,GWK60_E01067,ORF,8
GWK60_E01089,GWK60_E01089,ORF,19
GWK60_E01111,SWI5,ORF,1
GWK60_E01133,GWK60_E01133,ORF,2
GWK60_E01155,GWK60_E01155,ORF,0
GWK60_E01177,YPS2,ORF,4
GWK60_E01199,GWK60_E01199,ORF,4
GWK60_E01221,CDC33,ORF,0
GWK60_E01243,GWK60_E01243,ORF,6
GWK60_E01265,GWK60_E01265,ORF,3
GWK60_E01287,GWK60_E01287,ORF,2
GWK60_E01309,GWK60_E01309,ORF,0
GWK60_E01331,RBX1,ORF,0
GWK60_E01353,GWK60_E01353,ORF,0
GWK60_E01375,GWK60_E01375,ORF,4
GWK60_E01397,GWK60_E01397,ORF,1
GWK60_E01419,GWK60_E01419,ORF,2
GWK60_E01441,GWK60_E01441,ORF,18
GWK60_E01463,YGK3,ORF,7
GWK60_E01485,GWK60_E01485,ORF,8
GWK60_E01507,YPS3,ORF,18
GWK60_E01529,YPS4,ORF,2
GWK60_E01551,YPS5,ORF,3
GWK60_E01573,YPS6,ORF,4
GWK60_E01595,YPS8,ORF,7
GWK60_E01617,YPS9,ORF,7
GWK60_E01639,YPS10,ORF,12
GWK60_E01661,YPS11,ORF,6
GWK60_E01683,GWK60_E01683,ORF,5
GWK60_E01705,GWK60_E01705,ORF,3
GWK60_E01727,GWK60_E01727,ORF,4
GWK60_E01749,GWK60_E01749,ORF,10
GWK60_E01771,GWK60_E01771,ORF,0
GWK60_E01793,GWK60_E01793,ORF,2
GWK60_E01815,GWK60_E01815,ORF,12
GWK60_E01837,GWK60_E01837,ORF,4
GWK60_E01859,GWK60_E01859,ORF,5
GWK60_E01881,GWK60_E01881,ORF,1
GWK60_E01903,GWK60_E01903,ORF,23
GWK60_E01925,GWK60_E01925,ORF,8
GWK60_E01947,GWK60_E01947,ORF,5
GWK60_E01969,GWK60_E01969,ORF,21
GWK60_E01991,GWK60_E01991,ORF,6
GWK60_E02013,GWK60_E02013,ORF,54
GWK60_E02035,GWK60_E02035,ORF,3
GWK60_E02079,GWK60_E02079,ORF,13
GWK60_E02101,GWK60_E02101,ORF,0
GWK60_E02123,GWK60_E02123,ORF,16
GWK60_E02145,GWK60_E02145,ORF,0
GWK60_E02167,GWK60_E02167,ORF,0
GWK60_E02189,GWK60_E02189,ORF,6
GWK60_E02211,GWK60_E02211,ORF,8
GWK60_E02233,GWK60_E02233,ORF,8
GWK60_E02255,GWK60_E02255,ORF,0
GWK60_E02277,SIN3,ORF,25
GWK60_E02299,GWK60_E02299,ORF,31
GWK60_E02321,GWK60_E02321,ORF,27
GWK60_E02343,PHO80,ORF,8
GWK60_E02365,GWK60_E02365,ORF,4
GWK60_E02387,GWK60_E02387,ORF,0
GWK60_E02409,GWK60_E02409,ORF,14
GWK60_E02431,GWK60_E02431,ORF,26
GWK60_E02453,GWK60_E02453,ORF,1
GWK60_E02475,LIG4,ORF,18
GWK60_E02497,GWK60_E02497,ORF,4
GWK60_E02519,GWK60_E02519,ORF,10
GWK60_E02541,GWK60_E02541,ORF,8
GWK60_E02563,GWK60_E02563,ORF,6
GWK60_E02585,GWK60_E02585,ORF,18
GWK60_E02607,GWK60_E02607,ORF,3
GWK60_E02629,GWK60_E02629,ORF,14
GWK60_E02651,GWK60_E02651,ORF,9
GWK60_E02673,GWK60_E02673,ORF,4
GWK60_E02695,GWK60_E02695,ORF,10
GWK60_E02717,GWK60_E02717,ORF,0
GWK60_E02739,GWK60_E02739,ORF,2
GWK60_E02761,GWK60_E02761,ORF,7
GWK60_E02783,GWK60_E02783,ORF,12
GWK60_E02805,GWK60_E02805,ORF,4
GWK60_E02827,GWK60_E02827,ORF,8
GWK60_E02871,GWK60_E02871,ORF,10
GWK60_E02893,CYS4,ORF,6
GWK60_E02915,GWK60_E02915,ORF,6
GWK60_E02937,GWK60_E02937,ORF,3
GWK60_E02959,GWK60_E02959,ORF,1
GWK60_E02981,GWK60_E02981,ORF,2
GWK60_E03003,GWK60_E03003,ORF,1
GWK60_E03025,GWK60_E03025,ORF,0
GWK60_E03047,GWK60_E03047,ORF,0
GWK60_E03091,GWK60_E03091,ORF,4
GWK60_E03113,GWK60_E03113,ORF,3
GWK60_E03157,GWK60_E03157,ORF,4
GWK60_E03179,IMH1,ORF,5
GWK60_E03201,GWK60_E03201,ORF,0
GWK60_E03223,GWK60_E03223,ORF,1
GWK60_E03245,GWK60_E03245,ORF,1
GWK60_E03267,GWK60_E03267,ORF,6
GWK60_E03289,GWK60_E03289,ORF,1
GWK60_E03333,GWK60_E03333,ORF,5
GWK60_E03355,GWK60_E03355,ORF,8
GWK60_E03377,ISA1,ORF,6
GWK60_E03399,TPO1_2,ORF,9
GWK60_E03421,SNF6,ORF,3
GWK60_E03443,GWK60_E03443,ORF,2
GWK60_E03465,GWK60_E03465,ORF,16
GWK60_E03487,GWK60_E03487,ORF,2
GWK60_E03509,GWK60_E03509,ORF,4
GWK60_E03531,GWK60_E03531,ORF,11
GWK60_E03553,GWK60_E03553,ORF,1
GWK60_E03575,GWK60_E03575,ORF,1
GWK60_E03597,FPS2,ORF,2
GWK60_E03619,GWK60_E03619,ORF,14
GWK60_E03641,GWK60_E03641,ORF,1
GWK60_E03663,GWK60_E03663,ORF,1
GWK60_E03685,GWK60_E03685,ORF,2
GWK60_E03707,GWK60_E03707,ORF,0
GWK60_E03729,GWK60_E03729,ORF,2
GWK60_E03751,COF1,ORF,0
GWK60_E03773,GWK60_E03773,ORF,2
GWK60_E03795,SIT1,ORF,7
GWK60_E03817,GWK60_E03817,ORF,4
GWK60_E03839,GWK60_E03839,ORF,6
GWK60_E03861,GWK60_E03861,ORF,0
GWK60_E03883,GWK60_E03883,ORF,1
GWK60_E03905,GWK60_E03905,ORF,3
GWK60_E03927,GWK60_E03927,ORF,0
GWK60_E03949,GWK60_E03949,ORF,4
GWK60_E03971,GWK60_E03971,ORF,2
GWK60_E03993,GWK60_E03993,ORF,3
GWK60_E04015,ERG11,ORF,0
GWK60_E04037,GWK60_E04037,ORF,9
GWK60_E04059,GWK60_E04059,ORF,8
GWK60_E04081,GWK60_E04081,ORF,2
GWK60_E04103,GWK60_E04103,ORF,11
GWK60_E04125,GWK60_E04125,ORF,0
GWK60_E04147,GWK60_E04147,ORF,3
GWK60_E04169,GWK60_E04169,ORF,2
GWK60_E04191,GWK60_E04191,ORF,3
GWK60_E04213,GWK60_E04213,ORF,2
GWK60_E04235,GWK60_E04235,ORF,0
GWK60_E04257,GWK60_E04257,ORF,0
GWK60_E04279,GWK60_E04279,ORF,0
GWK60_E04301,CDC34,ORF,1
GWK60_E04323,PST1,ORF,8
GWK60_E04345,GWK60_E04345,ORF,4
GWK60_E04367,GWK60_E04367,ORF,1
GWK60_E04389,GWK60_E04389,ORF,4
GWK60_E04411,GWK60_E04411,ORF,5
GWK60_E04455,GWK60_E04455,ORF,0
GWK60_E04477,GWK60_E04477,ORF,3
GWK60_E04499,GWK60_E04499,ORF,5
GWK60_E04521,GWK60_E04521,ORF,3
GWK60_E04543,GWK60_E04543,ORF,1
GWK60_E04565,GWK60_E04565,ORF,3
GWK60_E04587,GWK60_E04587,ORF,2
GWK60_E04609,GWK60_E04609,ORF,30
GWK60_E04631,GWK60_E04631,ORF,2
GWK60_E04653,GWK60_E04653,ORF,1
GWK60_E04675,GWK60_E04675,ORF,1
GWK60_E04697,GWK60_E04697,ORF,4
GWK60_E04719,GWK60_E04719,ORF,1
GWK60_E04741,GWK60_E04741,ORF,2
GWK60_E04763,NUT1,ORF,1
GWK60_E04785,PEX14,ORF,2
GWK60_E04807,GWK60_E04807,ORF,3
GWK60_E04829,GWK60_E04829,ORF,0
GWK60_E04851,GWK60_E04851,ORF,6
GWK60_E04873,GRE2(A),ORF,0
GWK60_E04895,GWK60_E04895,ORF,4
GWK60_E04917,GWK60_E04917,ORF,3
GWK60_E04939,GRE2(B),ORF,3
GWK60_E04961,GWK60_E04961,ORF,0
GWK60_E04983,GWK60_E04983,ORF,2
GWK60_E05005,GWK60_E05005,ORF,0
GWK60_E05027,GWK60_E05027,ORF,1
GWK60_E05049,ALA1,ORF,0
GWK60_E05071,GWK60_E05071,ORF,1
GWK60_E05093,GWK60_E05093,ORF,2
GWK60_E05115,GWK60_E05115,ORF,0
GWK60_E05137,GWK60_E05137,ORF,0
GWK60_E05159,GWK60_E05159,ORF,0
GWK60_E05181,GWK60_E05181,ORF,1
GWK60_E05225,GWK60_E05225,ORF,1
GWK60_E05247,GWK60_E05247,ORF,8
GWK60_E05269,GWK60_E05269,ORF,3
GWK60_E05291,GWK60_E05291,ORF,7
GWK60_E05313,GWK60_E05313,ORF,10
GWK60_E05335,GWK60_E05335,ORF,7
GWK60_E05357,GWK60_E05357,ORF,6
GWK60_E05379,GWK60_E05379,ORF,0
GWK60_E05401,GWK60_E05401,ORF,0
GWK60_E05423,GWK60_E05423,ORF,1
GWK60_E05445,GWK60_E05445,ORF,1
GWK60_E05467,THI6,ORF,3
GWK60_E05489,GWK60_E05489,ORF,2
GWK60_E05511,GWK60_E05511,ORF,0
GWK60_E05533,GWK60_E05533,ORF,0
GWK60_E05555,GWK60_E05555,ORF,2
GWK60_E05577,GWK60_E05577,ORF,3
GWK60_E05599,GWK60_E05599,ORF,10
GWK60_E05621,GWK60_E05621,ORF,7
