Standard name,Common name,Type,Lib yH298-parent-pool1
GWK60_A02761,GWK60_A02761,ORF,0
GWK60_A02783,GWK60_A02783,ORF,0
GWK60_A02805,GWK60_A02805,ORF,1
GWK60_A02827,GWK60_A02827,ORF,0
GWK60_A02849,GWK60_A02849,ORF,1
GWK60_A02871,GWK60_A02871,ORF,0
GWK60_A02893,GWK60_A02893,ORF,0
GWK60_A02915,GWK60_A02915,ORF,3
GWK60_A02937,GWK60_A02937,ORF,15
GWK60_A02959,GWK60_A02959,ORF,0
GWK60_A02981,ARO10,ORF,2
GWK60_A03003,GWK60_A03003,ORF,0
GWK60_A03025,GWK60_A03025,ORF,4
GWK60_A03047,GWK60_A03047,ORF,0
GWK60_A03069,GWK60_A03069,ORF,10
GWK60_A03091,GWK60_A03091,ORF,5
GWK60_A03113,EFT2,ORF,0
GWK60_A03135,GWK60_A03135,ORF,0
GWK60_A03157,GWK60_A03157,ORF,1
GWK60_A03179,GWK60_A03179,ORF,20
GWK60_A03201,GWK60_A03201,ORF,3
GWK60_A03223,GWK60_A03223,ORF,2
GWK60_A03245,GWK60_A03245,ORF,2
GWK60_A03267,GWK60_A03267,ORF,0
GWK60_A03289,GWK60_A03289,ORF,2
GWK60_A03311,GWK60_A03311,ORF,3
GWK60_A03333,GWK60_A03333,ORF,0
GWK60_A03355,SMF3,ORF,4
GWK60_A03377,GWK60_A03377,ORF,29
GWK60_A03421,COX12,ORF,2
GWK60_A03443,GWK60_A03443,ORF,0
GWK60_A03465,GWK60_A03465,ORF,0
GWK60_A03487,GWK60_A03487,ORF,1
GWK60_A03509,GWK60_A03509,ORF,0
GWK60_A03531,GWK60_A03531,ORF,0
GWK60_A03553,GWK60_A03553,ORF,1
GWK60_A03575,GAL83,ORF,4
GWK60_A03597,GWK60_A03597,ORF,1
GWK60_A03619,GWK60_A03619,ORF,7
GWK60_A03663,GWK60_A03663,ORF,1
GWK60_A03685,GWK60_A03685,ORF,1
GWK60_A03707,GWK60_A03707,ORF,0
GWK60_A03751,GWK60_A03751,ORF,1
GWK60_A03773,GWK60_A03773,ORF,2
GWK60_A03795,HMX1,ORF,3
GWK60_A03817,GWK60_A03817,ORF,4
GWK60_A03839,GWK60_A03839,ORF,1
GWK60_A03861,GWK60_A03861,ORF,0
GWK60_A03883,GWK60_A03883,ORF,2
GWK60_A03905,GWK60_A03905,ORF,0
GWK60_A03927,GWK60_A03927,ORF,0
GWK60_A03949,NMT1,ORF,4
GWK60_A03971,GWK60_A03971,ORF,4
GWK60_A03993,GWK60_A03993,ORF,0
GWK60_A04015,GWK60_A04015,ORF,0
GWK60_A04037,PEX13,ORF,2
GWK60_A04059,GWK60_A04059,ORF,2
GWK60_A04081,GWK60_A04081,ORF,3
GWK60_A04103,GWK60_A04103,ORF,1
GWK60_A04125,GWK60_A04125,ORF,4
GWK60_A04147,GWK60_A04147,ORF,4
GWK60_A04169,GWK60_A04169,ORF,3
GWK60_A04191,GWK60_A04191,ORF,4
GWK60_A04213,GWK60_A04213,ORF,4
GWK60_A04235,GWK60_A04235,ORF,0
GWK60_A04257,GWK60_A04257,ORF,0
GWK60_A04279,GWK60_A04279,ORF,2
GWK60_A04301,SKT5,ORF,4
GWK60_A04323,GWK60_A04323,ORF,1
GWK60_A04345,SEF1,ORF,4
GWK60_A04367,GWK60_A04367,ORF,3
GWK60_A04389,GWK60_A04389,ORF,1
GWK60_A04411,GWK60_A04411,ORF,0
GWK60_A04433,GWK60_A04433,ORF,0
GWK60_A04455,SWI4,ORF,1
GWK60_A04477,GWK60_A04477,ORF,2
GWK60_A04499,GWK60_A04499,ORF,3
GWK60_A04521,GWK60_A04521,ORF,0
GWK60_A04543,GWK60_A04543,ORF,1
GWK60_A04565,GWK60_A04565,ORF,1
GWK60_A04587,GWK60_A04587,ORF,0
GWK60_A04609,GWK60_A04609,ORF,0
GWK60_A04631,RTG2,ORF,2
GWK60_A04653,GWK60_A04653,ORF,0
GWK60_A04675,GWK60_A04675,ORF,3
GWK60_A04697,GWK60_A04697,ORF,1
GWK60_B00011,GWK60_B00011,ORF,0
GWK60_B00055,GWK60_B00055,ORF,0
GWK60_B00077,GWK60_B00077,ORF,0
GWK60_B00099,MTLalpha2,ORF,0
GWK60_B00121,GWK60_B00121,ORF,1
GWK60_B00143,GWK60_B00143,ORF,1
GWK60_B00165,GWK60_B00165,ORF,1
GWK60_B00187,GWK60_B00187,ORF,0
GWK60_B00209,GWK60_B00209,ORF,0
GWK60_B00231,GWK60_B00231,ORF,1
GWK60_B00253,GWK60_B00253,ORF,2
GWK60_B00275,GWK60_B00275,ORF,2
GWK60_B00297,GWK60_B00297,ORF,2
GWK60_B00319,GWK60_B00319,ORF,0
GWK60_B00341,GWK60_B00341,ORF,0
GWK60_B00363,GWK60_B00363,ORF,6
GWK60_B00385,GWK60_B00385,ORF,1
GWK60_B00407,GWK60_B00407,ORF,0
GWK60_B00429,GWK60_B00429,ORF,0
GWK60_B00451,GWK60_B00451,ORF,0
GWK60_B00473,GWK60_B00473,ORF,1
GWK60_B00495,GWK60_B00495,ORF,1
GWK60_B00517,PDI1,ORF,0
GWK60_B00539,GWK60_B00539,ORF,0
