bin_start_bp	mean_reads_across_arms	n_arms
326000	770.591	22
327000	651.273	22
328000	1137.27	22
329000	1396.55	22
330000	648.591	22
331000	729.455	22
332000	894.273	22
333000	686.591	22
334000	356.818	22
335000	680.409	22
336000	575.409	22
337000	873.636	22
338000	1476.23	22
339000	1278.95	22
340000	291.727	22
341000	1023.95	22
342000	578.136	22
343000	1196.41	22
344000	664	22
345000	156.818	22
346000	657.864	22
347000	2012.82	22
348000	1160.18	22
349000	733.045	22
350000	734.182	22
351000	2923.32	22
352000	782.455	22
353000	2131.14	22
354000	3447.5	22
355000	2163.05	22
356000	1511.5	22
357000	1285.82	22
358000	932.955	22
359000	1691.18	22
360000	1149.27	22
361000	1111.86	22
362000	1082.95	22
363000	2808.32	22
364000	2530	22
365000	1994.91	22
366000	2660.27	22
367000	1201.55	22
368000	1037.41	22
369000	1108.41	22
370000	719.045	22
371000	715.182	22
372000	942	22
373000	1662.05	22
374000	1398.32	22
375000	926.773	22
376000	2150.18	22
377000	1139.59	22
378000	1914.73	22
379000	299.455	22
380000	600.682	22
381000	1912	22
382000	1558.73	22
383000	738.818	22
384000	1901.23	22
385000	862.136	22
386000	1296.36	22
387000	1088.5	22
388000	2586.82	22
389000	2576	22
390000	2489.09	22
391000	473.091	22
392000	266	22
393000	294.636	22
394000	1504.77	22
395000	3178.68	22
396000	2743.86	22
397000	1032.91	22
398000	987.773	22
399000	2193.41	22
400000	394	22
401000	232.818	22
402000	1071.59	22
403000	182.136	22
404000	2041.5	22
405000	775	22
406000	122.318	22
407000	748.364	22
408000	309.182	22
409000	308.091	22
410000	503.727	22
411000	984.182	22
412000	608.409	22
413000	1109	22
414000	331.864	22
415000	365.909	22
416000	1118.91	22
417000	335.864	22
418000	521.864	22
419000	209.5	22
420000	315.364	22
421000	1595.77	22
422000	463.5	22
423000	725.364	22
424000	939.5	22
425000	953	22
426000	378.727	22
427000	731.864	22
428000	891.682	22
429000	136.773	22
430000	221.955	22
431000	557.455	22
432000	438.727	22
433000	412.455	22
434000	757.864	22
435000	750.455	22
436000	602.091	22
437000	840.682	22
438000	380	22
439000	970	22
440000	399.636	22
441000	760.182	22
442000	567.591	22
443000	941.955	22
444000	1752.41	22
445000	529.864	22
446000	540.864	22
447000	266.182	22
448000	243.773	22
449000	53.3182	22
450000	454.636	22
451000	699.182	22
452000	562.909	22
453000	1255.73	22
454000	445.545	22
455000	613.364	22
456000	229.909	22
457000	1462.77	22
458000	392.682	22
459000	604.818	22
460000	710.727	22
461000	1664.14	22
