Bin index,combined_parent_hits.T059p7,combined_parent_hits.T059p7 rank
CP048241.1-119,18,401
CP048241.1-120,17,433
CP048241.1-121,4,1065
CP048241.1-122,3,1119
CP048241.1-123,29,194
CP048241.1-124,32,161
CP048241.1-125,28,209
CP048241.1-126,17,434
CP048241.1-127,21,322
CP048241.1-128,18,402
CP048241.1-129,4,1066
CP048241.1-130,9,788
CP048241.1-131,8,844
CP048241.1-132,30,184
CP048241.1-133,17,435
CP048241.1-134,35,132
CP048241.1-135,61,42
CP048241.1-136,59,44
CP048241.1-137,29,195
CP048241.1-138,53,52
CP048241.1-139,27,224
CP048241.1-140,5,1009
CP048241.1-141,11,689
CP048241.1-142,4,1067
CP048241.1-143,24,270
CP048241.1-144,0,1250
CP048241.1-145,24,271
CP048241.1-146,23,290
CP048241.1-147,41,94
CP048241.1-148,32,162
CP048241.1-149,20,341
CP048241.1-150,17,436
CP048241.1-151,19,375
CP048241.1-152,13,583
CP048241.1-153,9,789
CP048241.1-154,44,80
CP048241.1-155,8,845
CP048241.1-156,14,535
CP048241.1-157,8,846
CP048241.1-158,2,1167
CP048241.1-159,13,584
CP048241.1-160,11,690
CP048241.1-161,7,905
CP048241.1-162,9,790
CP048241.1-163,4,1068
CP048241.1-164,4,1069
CP048241.1-165,6,957
CP048241.1-166,6,958
CP048241.1-167,10,744
CP048241.1-168,3,1120
CP048241.1-169,1,1206
CP048241.1-170,0,1251
CP048241.1-171,15,505
CP048241.1-172,12,631
CP048241.1-173,12,632
CP048241.1-174,5,1010
CP048241.1-175,6,959
CP048241.1-176,13,585
CP048241.1-177,3,1121
CP048241.1-178,8,847
CP048241.1-179,8,848
CP048241.1-180,7,906
CP048241.1-181,2,1168
CP048241.1-182,0,1252
CP048241.1-183,12,633
CP048242.1-0,0,1253
CP048242.1-1,0,1254
CP048242.1-2,5,1011
CP048242.1-3,17,437
CP048242.1-4,9,791
CP048242.1-5,16,462
CP048242.1-6,11,691
CP048242.1-7,10,745
CP048242.1-8,4,1070
CP048242.1-9,12,634
CP048242.1-10,11,692
CP048242.1-11,6,960
CP048242.1-12,4,1071
CP048242.1-13,10,746
CP048242.1-14,5,1012
CP048242.1-15,3,1122
CP048242.1-16,12,635
CP048242.1-17,12,636
CP048242.1-18,7,907
CP048242.1-19,13,586
CP048242.1-20,12,637
CP048242.1-21,13,587
CP048242.1-22,7,908
CP048242.1-23,21,323
CP048242.1-24,1,1207
CP048242.1-25,5,1013
CP048242.1-26,15,506
CP048242.1-27,12,638
CP048242.1-28,13,588
CP048242.1-29,12,639
CP048242.1-30,6,961
CP048242.1-31,16,463
CP048242.1-32,4,1072
CP048242.1-33,28,210
CP048242.1-34,1,1208
CP048242.1-35,5,1014
CP048242.1-36,5,1015
CP048242.1-37,10,747
CP048242.1-38,17,438
CP048242.1-39,6,962
CP048242.1-40,7,909
CP048242.1-41,12,640
CP048242.1-42,0,1255
CP048242.1-43,5,1016
CP048242.1-44,8,849
CP048242.1-45,4,1073
CP048242.1-46,6,963
CP048242.1-47,7,910
CP048242.1-48,7,911
CP048242.1-49,2,1169
CP048242.1-50,8,850
CP048242.1-51,8,851
CP048242.1-52,4,1074
CP048242.1-53,17,439
CP048242.1-54,15,507
CP048242.1-55,5,1017
CP048242.1-56,7,912
CP048242.1-57,3,1123
CP048242.1-58,9,792
CP048242.1-59,6,964
CP048242.1-60,18,403
CP048242.1-61,12,641
CP048242.1-62,16,464
CP048242.1-63,14,536
CP048242.1-64,5,1018
CP048242.1-65,15,508
CP048242.1-66,29,196
CP048242.1-67,7,913
CP048242.1-68,10,748
CP048242.1-69,4,1075
CP048242.1-70,7,914
CP048242.1-71,3,1124
CP048242.1-72,5,1019
CP048242.1-73,4,1076
CP048242.1-74,17,440
CP048242.1-75,33,149
CP048242.1-76,8,852
CP048242.1-77,18,404
CP048242.1-78,6,965
CP048242.1-79,4,1077
CP048242.1-80,23,291
CP048242.1-81,3,1125
CP048242.1-82,7,915
CP048242.1-83,1,1209
CP048242.1-84,2,1170
CP048242.1-85,32,163
CP048242.1-86,48,64
CP048242.1-87,13,589
CP048242.1-88,25,250
CP048242.1-89,22,307
CP048242.1-90,11,693
CP048242.1-91,17,441
CP048242.1-92,1,1210
CP048242.1-93,16,465
CP048242.1-94,7,916
CP048242.1-95,20,342
CP048242.1-96,8,853
CP048242.1-97,16,466
CP048242.1-98,7,917
CP048242.1-99,19,376
CP048242.1-100,31,173
CP048242.1-101,37,115
CP048242.1-102,16,467
CP048242.1-103,39,107
CP048242.1-104,19,377
CP048242.1-105,104,5
CP048242.1-106,18,405
CP048242.1-107,23,292
CP048242.1-108,19,378
CP048242.1-109,37,116
CP048242.1-110,18,406
CP048242.1-111,19,379
CP048242.1-112,8,854
CP048242.1-113,26,238
CP048242.1-114,2,1171
CP048242.1-115,2,1172
CP048242.1-116,6,966
CP048242.1-117,64,38
CP048242.1-118,9,793
CP048242.1-119,7,918
CP048242.1-120,31,174
CP048242.1-121,10,749
CP048242.1-122,10,750
CP048242.1-123,1,1211
CP048242.1-124,24,272
CP048242.1-125,19,380
CP048242.1-126,14,537
CP048242.1-127,9,794
CP048242.1-128,10,751
CP048242.1-129,8,855
CP048242.1-130,29,197
CP048242.1-131,28,211
CP048242.1-132,11,694
CP048242.1-133,1,1212
CP048242.1-134,11,695
CP048242.1-135,10,752
CP048242.1-136,12,642
CP048242.1-137,4,1078
CP048242.1-138,4,1079
CP048242.1-139,13,590
CP048242.1-140,12,643
CP048242.1-141,2,1173
CP048242.1-142,2,1174
