Bin index,combined_parent_hits.T059p7,combined_parent_hits.T059p7 rank
CP048234.1-14,31,164
CP048234.1-15,16,446
CP048234.1-16,7,863
CP048234.1-17,11,648
CP048234.1-18,9,762
CP048234.1-19,31,165
CP048234.1-20,35,128
CP048234.1-21,25,242
CP048234.1-22,31,166
CP048234.1-23,89,11
CP048234.1-24,26,229
CP048234.1-25,39,101
CP048234.1-26,53,49
CP048234.1-27,33,140
CP048234.1-28,46,67
CP048234.1-29,18,386
CP048234.1-30,46,68
CP048234.1-31,64,36
CP048234.1-32,27,216
CP048234.1-33,12,598
CP048234.1-34,6,927
CP048234.1-35,11,649
CP048234.1-36,24,255
CP048234.1-37,12,599
CP048234.1-38,11,650
CP048234.1-39,32,151
CP048234.1-40,10,709
CP048234.1-41,21,311
CP048234.1-42,9,763
CP048234.1-43,32,152
CP048234.1-44,43,82
CP048234.1-45,10,710
CP048234.1-46,37,112
CP048234.1-47,11,651
CP048234.1-48,12,600
CP048234.1-49,46,69
CP048234.1-50,27,217
CP048234.1-51,4,1028
CP048234.1-52,16,447
CP048234.1-53,9,764
CP048234.1-54,5,974
CP048234.1-55,8,802
CP048234.1-56,8,803
CP048234.1-57,33,141
CP048234.1-58,30,177
CP048234.1-59,10,711
CP048234.1-60,0,1223
CP048234.1-61,18,387
CP048234.1-62,33,142
CP048234.1-63,21,312
CP048234.1-64,23,275
CP048234.1-65,18,388
CP048234.1-66,17,412
CP048234.1-67,6,928
CP048234.1-68,2,1130
CP048235.1-0,0,1224
CP048235.1-1,0,1225
CP048235.1-2,1,1184
CP048235.1-3,15,476
CP048235.1-4,19,348
CP048235.1-5,34,137
CP048235.1-6,1,1185
CP048235.1-7,22,299
CP048235.1-8,53,50
CP048235.1-9,16,448
CP048235.1-10,15,477
CP048235.1-11,5,975
CP048235.1-12,15,478
CP048235.1-13,10,712
CP048235.1-14,36,119
CP048235.1-15,19,349
CP048235.1-16,81,15
CP048235.1-17,2,1131
CP048235.1-18,19,350
CP048235.1-19,38,108
CP048235.1-20,51,54
CP048235.1-21,7,864
CP048235.1-22,18,389
CP048235.1-23,44,76
CP048235.1-24,105,4
CP048235.1-25,44,77
CP048235.1-26,12,601
CP048235.1-27,39,102
CP048235.1-28,10,713
CP048235.1-29,13,547
CP048235.1-30,39,103
CP048235.1-31,15,479
CP048235.1-32,7,865
CP048235.1-33,16,449
CP048235.1-34,31,167
CP048235.1-35,20,331
CP048235.1-36,11,652
CP048235.1-37,28,203
CP048235.1-38,7,866
CP048235.1-39,6,929
CP048235.1-40,8,804
CP048235.1-41,7,867
CP048235.1-42,13,548
CP048235.1-43,43,83
CP048235.1-44,1,1186
CP048235.1-45,10,714
CP048235.1-46,17,413
CP048235.1-47,25,243
CP048235.1-48,18,390
CP048235.1-49,9,765
CP048235.1-50,28,204
CP048235.1-51,10,715
CP048235.1-52,4,1029
CP048235.1-53,19,351
CP048235.1-54,3,1090
CP048235.1-55,14,515
