Bin index,yH299-parent-pool4_normalized,yH299-parent-pool4_normalized rank
CP048234.1-14,30,179
CP048234.1-15,6,919
CP048234.1-16,5,966
CP048234.1-17,10,698
CP048234.1-18,11,645
CP048234.1-19,32,150
CP048234.1-20,23,281
CP048234.1-21,21,319
CP048234.1-22,38,99
CP048234.1-23,78,20
CP048234.1-24,26,239
CP048234.1-25,47,68
CP048234.1-26,65,37
CP048234.1-27,36,116
CP048234.1-28,38,100
CP048234.1-29,18,402
CP048234.1-30,44,73
CP048234.1-31,54,52
CP048234.1-32,27,224
CP048234.1-33,19,370
CP048234.1-34,7,850
CP048234.1-35,7,851
CP048234.1-36,33,140
CP048234.1-37,13,563
CP048234.1-38,12,601
CP048234.1-39,36,117
CP048234.1-40,8,801
CP048234.1-41,23,282
CP048234.1-42,9,754
CP048234.1-43,31,164
CP048234.1-44,50,62
CP048234.1-45,9,755
CP048234.1-46,30,180
CP048234.1-47,12,602
CP048234.1-48,9,756
CP048234.1-49,23,283
CP048234.1-50,30,181
CP048234.1-51,2,1129
CP048234.1-52,17,437
CP048234.1-53,16,457
CP048234.1-54,3,1072
CP048234.1-55,6,920
CP048234.1-56,14,526
CP048234.1-57,32,151
CP048234.1-58,22,298
CP048234.1-59,7,852
CP048234.1-60,3,1073
CP048234.1-61,15,493
CP048234.1-62,28,203
CP048234.1-63,18,403
CP048234.1-64,25,254
CP048234.1-65,21,320
CP048234.1-66,21,321
CP048234.1-67,12,603
CP048234.1-68,1,1188
CP048234.1-69,0,1227
CP048234.1-70,1,1189
CP048235.1-0,2,1130
CP048235.1-1,0,1228
CP048235.1-2,1,1190
CP048235.1-3,21,322
CP048235.1-4,25,255
CP048235.1-5,34,131
CP048235.1-6,1,1191
CP048235.1-7,32,152
CP048235.1-8,48,66
CP048235.1-9,20,345
CP048235.1-10,10,699
CP048235.1-11,11,646
CP048235.1-12,16,458
CP048235.1-13,10,700
CP048235.1-14,38,101
CP048235.1-15,17,438
CP048235.1-16,73,26
CP048235.1-17,5,967
CP048235.1-18,34,132
CP048235.1-19,29,187
CP048235.1-20,38,102
CP048235.1-21,6,921
CP048235.1-22,14,527
CP048235.1-23,44,74
CP048235.1-24,108,4
CP048235.1-25,49,65
CP048235.1-26,19,371
CP048235.1-27,28,204
CP048235.1-28,7,853
CP048235.1-29,20,346
CP048235.1-30,37,107
CP048235.1-31,4,1021
CP048235.1-32,7,854
CP048235.1-33,6,922
CP048235.1-34,33,141
CP048235.1-35,23,284
CP048235.1-36,11,647
CP048235.1-37,21,323
CP048235.1-38,2,1131
CP048235.1-39,5,968
CP048235.1-40,6,923
CP048235.1-41,7,855
CP048235.1-42,19,372
CP048235.1-43,42,81
CP048235.1-44,1,1192
CP048235.1-45,7,856
CP048235.1-46,19,373
CP048235.1-47,32,153
CP048235.1-48,27,225
CP048235.1-49,11,648
CP048235.1-50,22,299
CP048235.1-51,11,649
CP048235.1-52,1,1193
CP048235.1-53,19,374
CP048235.1-54,6,924
CP048235.1-55,20,347
CP048235.1-56,3,1074
CP048235.1-57,8,802
CP048235.1-58,9,757
CP048235.1-59,6,925
CP048235.1-60,20,348
CP048235.1-61,17,439
CP048235.1-62,18,404
CP048235.1-63,20,349
CP048235.1-64,16,459
CP048235.1-65,2,1132
CP048235.1-66,7,857
CP048235.1-67,3,1075
CP048235.1-68,9,758
CP048235.1-69,15,494
CP048235.1-70,21,324
CP048235.1-71,8,803
CP048235.1-72,2,1133
CP048235.1-73,12,604
CP048235.1-74,24,262
CP048235.1-75,47,69
CP048235.1-76,7,858
CP048235.1-77,11,650
CP048235.1-78,6,926
CP048235.1-79,8,804
CP048235.1-80,13,564
CP048235.1-81,18,405
CP048235.1-82,11,651
CP048235.1-83,13,565
CP048235.1-84,6,927
CP048235.1-85,2,1134
CP048235.1-86,24,263
