RDF,1
standard_name,common_name,type,chrom,start,stop,strand,coding_length,hits,reads,insertion_index,neighborhood_index,reads_ni,max_free_region,freedom_index,logit_fi,s_value,upstream_hits_100,hits_in_domains,reads_in_domains,domain_coverage,domain_ratio,bps_between_hits_in_feature,bps_between_hits_in_neihgborhood
GWK60_A00539,GWK60_A00539,ORF,CP048230.1,85576,85959,W,384,0,0,0.0,0.0,0.0,384,1.0,0.8629487074245404,-13.092261624843921,0,0,0,0,0.0,9999,444.57894736842104
GWK60_A00583,GWK60_A00583,ORF,CP048230.1,87402,88226,W,825,1,3,0.0012121212121212121,0.5361818181818182,1.2373426573426574,669,0.8109090909090909,0.809346684254829,-11.092261624843921,0,0,0,0,0.0,825.0,442.35
GWK60_A00605,GWK60_A00605,ORF,CP048230.1,89315,91915,W,2601,1,1,0.00038446751249519417,0.1806187903437949,0.14920682680574363,1905,0.7324106113033448,0.7324106112759705,-12.092261624843921,0,0,0,0,0.0,2601.0,469.7894736842105
GWK60_A00627,GWK60_A00627,ORF,CP048230.1,94544,94834,W,291,1,1,0.003436426116838488,1.7126288659793816,1.3701030927835052,265,0.9106529209621993,0.6492956808568888,-12.092261624843921,0,0,0,0,0.0,291.0,498.375
GWK60_A00649,GWK60_A00649,ORF,CP048230.1,95979,97628,W,1650,6,9,0.0036363636363636364,1.6936898395721924,2.056623376623377,619,0.3751515151515151,0.3751513259448208,-9.77033352995656,0,0,0,0,0.0,275.0,465.7647058823529
GWK60_A00671,GWK60_A00671,ORF,CP048230.1,98790,102578,W,3789,9,9,0.0023752969121140144,0.9017744865166969,0.7665083135391925,1513,0.39931380311427817,0.39931380311427805,-9.77033352995656,0,0,0,0,0.0,421.0,379.6470588235294
GWK60_A00693,GWK60_A00693,ORF,CP048230.1,102637,106125,C,3489,0,0,0.0,0.0,0.0,3489,1.0,0.9999999999999949,-13.092261624843921,0,0,0,0,0.0,9999,320.0
GWK60_A00715,GWK60_A00715,ORF,CP048230.1,106542,107636,W,1095,0,0,0.0,0.0,0.0,1095,1.0,0.9998702796695016,-13.092261624843921,0,0,0,0,0.0,9999,265.44444444444446
GWK60_A00737,GWK60_A00737,ORF,CP048230.1,107762,108751,C,990,0,0,0.0,0.0,0.0,990,1.0,0.9996293938593735,-13.092261624843921,2,0,0,0,0.0,9999,262.44444444444446
GWK60_A00759,EST2,ORF,CP048230.1,109052,111607,W,2556,1,1,0.0003912363067292645,0.1607981220657277,0.13782696177062376,2368,0.9264475743348983,0.9264475742805929,-12.092261624843921,0,0,0,0,0.0,2556.0,411.0
GWK60_A00781,GWK60_A00781,ORF,CP048230.1,111705,113963,C,2259,0,0,0.0,0.0,0.0,2259,1.0,0.9999999988574464,-13.092261624843921,0,0,0,0,0.0,9999,186.9047619047619
GWK60_A00803,GWK60_A00803,ORF,CP048230.1,114196,118476,W,4281,0,0,0.0,0.0,0.0,4281,1.0,1.0,-13.092261624843921,0,0,0,0,0.0,9999,189.28571428571428
GWK60_A00825,GWK60_A00825,ORF,CP048230.1,118583,119263,C,681,0,0,0.0,0.0,0.0,681,1.0,0.9919179913746745,-13.092261624843921,1,0,0,0,0.0,9999,176.25925925925927
GWK60_A00847,PEX23B,ORF,CP048230.1,119483,120694,W,1212,0,0,0.0,0.0,0.0,1212,1.0,0.9999597354957637,-13.092261624843921,0,0,0,0,0.0,9999,187.04
GWK60_A00869,GWK60_A00869,ORF,CP048230.1,121621,121857,C,237,0,0,0.0,0.0,0.0,237,1.0,0.5914589784327801,-13.092261624843921,0,0,0,0,0.0,9999,187.4
GWK60_A00891,GWK60_A00891,ORF,CP048230.1,122845,123504,W,660,11,17,0.016666666666666666,2.4764957264957266,3.0462275819418676,245,0.3712121212121212,0.36751789173122495,-8.922336623401609,3,0,0,0,0.0,60.0,148.5897435897436
GWK60_A00913,GWK60_A00913,ORF,CP048230.1,123980,125215,W,1236,0,0,0.0,0.0,0.0,1236,1.0,0.9999683265470388,-13.092261624843921,0,0,0,0,0.0,9999,148.17948717948718
GWK60_A00935,GWK60_A00935,ORF,CP048230.1,126050,127501,C,1452,1,1,0.0006887052341597796,0.1074561403508772,0.08506944444444445,1274,0.8774104683195593,0.877407263273229,-12.092261624843921,1,0,0,0,0.0,1452.0,156.02631578947367
GWK60_A00957,GWK60_A00957,ORF,CP048230.1,128085,130010,W,1926,2,2,0.0010384215991692627,0.1680112895066166,0.13372327123996014,998,0.5181723779854621,0.5181723614448535,-11.507299124122765,1,0,0,0,0.0,963.0,161.7948717948718
GWK60_A00979,GWK60_A00979,ORF,CP048230.1,130228,131835,C,1608,1,1,0.0006218905472636816,0.10179286494357481,0.0802597588978186,1345,0.8364427860696517,0.8364421440185413,-12.092261624843921,0,0,0,0,0.0,1608.0,163.6829268292683
GWK60_A01001,GWK60_A01001,ORF,CP048230.1,132712,132921,W,210,0,0,0.0,0.0,0.0,210,1.0,0.52497918747894,-13.092261624843921,0,0,0,0,0.0,9999,153.57142857142858
GWK60_A01023,GWK60_A01023,ORF,CP048230.1,133262,135667,W,2406,0,0,0.0,0.0,0.0,2406,1.0,0.9999999997372977,-13.092261624843921,1,0,0,0,0.0,9999,199.64705882352942
GWK60_A01045,GWK60_A01045,ORF,CP048230.1,136034,137863,W,1830,0,0,0.0,0.0,0.0,1830,1.0,0.999999916631899,-13.092261624843921,0,0,0,0,0.0,9999,175.35897435897436
GWK60_A01067,GWK60_A01067,ORF,CP048230.1,138245,140797,W,2553,0,0,0.0,0.0,0.0,2553,1.0,0.9999999999395981,-13.092261624843921,0,0,0,0,0.0,9999,222.0
GWK60_A01089,GWK60_A01089,ORF,CP048230.1,140956,141267,W,312,1,1,0.003205128205128205,0.7143772893772893,0.5814698867024448,264,0.8461538461538461,0.6379904523798792,-12.092261624843921,2,0,0,0,0.0,312.0,222.88571428571427
GWK60_A01111,DIP5,ORF,CP048230.1,142280,144121,W,1842,6,13,0.003257328990228013,0.8306188925081434,1.492412806864225,1471,0.7985884907709012,0.7985884317225708,-9.284906702786317,1,0,0,0,0.0,307.0,255.0
GWK60_A01133,GWK60_A01133,ORF,CP048230.1,147012,147893,W,882,2,2,0.0022675736961451248,0.8895367670877876,0.8121857438627625,678,0.7687074829931972,0.7678691841392986,-11.507299124122765,0,0,0,0,0.0,441.0,392.2857142857143
GWK60_A01155,GIT1,ORF,CP048230.1,148737,150332,C,1596,0,0,0.0,0.0,0.0,1596,1.0,0.9999991345366991,-13.092261624843921,0,0,0,0,0.0,9999,421.45454545454544
GWK60_A01177,EPA10,ORF,CP048230.1,152581,156771,W,4191,1,1,0.00023860653781913624,0.14883082796468622,0.14883082796468622,3454,0.8241469816272966,0.8241469816272966,-12.092261624843921,0,0,0,0,0.0,4191.0,623.75
GWK60_A01199,PGD1,ORF,CP048230.1,157478,158917,W,1440,1,2,0.0006944444444444445,0.6571180555555556,1.3142361111111112,1212,0.8416666666666667,0.8416632002021147,-11.507299124122765,0,0,0,0,0.0,1440.0,946.25
GWK60_A01221,EPA9,ORF,CP048230.1,161505,165887,W,4383,1,1,0.00022815423226100844,0.2596395163130276,0.2596395163130276,3702,0.8446269678302533,0.8446269678302533,-12.092261624843921,0,0,0,0,0.0,4383.0,1138.0
GWK60_A01243,GWK60_A01243,ORF,CP048230.1,166594,168033,W,1440,0,0,0.0,0.0,0.0,1440,1.0,0.999995881428255,-13.092261624843921,0,0,0,0,0.0,9999,1032.4285714285713
GWK60_A01265,TRP5,ORF,CP048230.1,168514,170637,W,2124,2,2,0.0009416195856873823,1.0856873822975517,1.0856873822975517,1222,0.5753295668549906,0.5753295643193315,-11.507299124122765,0,0,0,0,0.0,1062.0,1153.0
GWK60_A01287,CWH41,ORF,CP048230.1,170951,173395,W,2445,0,0,0.0,0.0,0.0,2445,1.0,0.9999999998221356,-13.092261624843921,0,0,0,0,0.0,9999,931.25
GWK60_A01309,GWK60_A01309,ORF,CP048230.1,174356,176077,W,1722,1,1,0.0005807200929152149,0.4243612078977933,0.3637381781981085,1497,0.8693379790940766,0.8693377656782948,-12.092261624843921,0,0,0,0,0.0,1722.0,730.75
GWK60_A01353,GWK60_A01353,ORF,CP048230.1,177006,177486,C,318,0,0,0.0,0.0,0.0,318,1.0,0.7649478037637647,-13.092261624843921,0,0,0,0,0.0,9999,671.9166666666666
GWK60_A01375,GWK60_A01375,ORF,CP048230.1,178790,179257,W,468,1,3,0.002136752136752137,1.688888888888889,4.222222222222222,418,0.8931623931623932,0.835853631757772,-11.092261624843921,0,0,0,0,0.0,468.0,790.4
GWK60_A01397,GWK60_A01397,ORF,CP048230.1,179925,180182,W,258,0,0,0.0,0.0,0.0,258,1.0,0.6410674063348171,-13.092261624843921,0,0,0,0,0.0,9999,790.4
GWK60_A01419,GWK60_A01419,ORF,CP048230.1,180310,181059,C,648,3,3,0.004629629629629629,3.4945286195286194,2.956908831908832,376,0.5802469135802469,0.5737444308996714,-11.092261624843921,0,0,0,0,0.0,250.0,754.8181818181819
GWK60_A01441,MIG1,ORF,CP048230.1,182472,183746,W,1275,9,11,0.007058823529411765,4.223058823529412,4.301263616557733,453,0.3552941176470588,0.35528649838303167,-9.507299124122765,0,0,0,0,0.0,141.66666666666666,598.2666666666667
GWK60_A01463,GWK60_A01463,ORF,CP048230.1,184908,185264,W,357,0,0,0.0,0.0,0.0,357,1.0,0.8277836082661223,-13.092261624843921,0,0,0,0,0.0,9999,572.4285714285714
GWK60_A01485,GWK60_A01485,ORF,CP048230.1,185977,188061,C,2085,0,0,0.0,0.0,0.0,2085,1.0,0.9999999934904793,-13.092261624843921,0,0,0,0,0.0,9999,587.5333333333333
GWK60_A01507,GWK60_A01507,ORF,CP048230.1,188383,190308,C,1926,2,4,0.0010384215991692627,0.5994288681204569,0.959086188992731,1827,0.9485981308411215,0.948598100560869,-10.77033352995656,1,0,0,0,0.0,963.0,577.25
GWK60_A01529,GWK60_A01529,ORF,CP048230.1,190708,191343,W,636,1,1,0.0015723270440251573,0.8363854975952646,0.6462978845054317,635,0.9984276729559748,0.985830350579591,-12.092261624843921,0,0,0,0,0.0,636.0,531.9411764705883
GWK60_A01551,GWK60_A01551,ORF,CP048230.1,192070,193479,W,1410,0,0,0.0,0.0,0.0,1410,1.0,0.9999944405176665,-13.092261624843921,0,0,0,0,0.0,9999,566.9333333333333
GWK60_A01573,GWK60_A01573,ORF,CP048230.1,193738,195555,C,1818,0,0,0.0,0.0,0.0,1818,1.0,0.9999999060027298,-13.092261624843921,0,0,0,0,0.0,9999,609.9375
GWK60_A01595,HXT4,ORF,CP048230.1,196148,197854,C,1707,2,2,0.0011716461628588166,0.8628197617652802,0.6471148213239601,738,0.43233743409490333,0.43233731078303594,-11.507299124122765,0,0,0,0,0.0,853.5,736.4166666666666
GWK60_A01617,HXT1,ORF,CP048230.1,201317,203008,C,1692,1,1,0.000591016548463357,0.4884259259259259,0.3663194444444444,1099,0.6495271867612293,0.6495269715209634,-12.092261624843921,0,0,0,0,0.0,1692.0,826.4166666666666
GWK60_A01639,HXT5,ORF,CP048230.1,205137,206903,C,1767,0,0,0.0,0.0,0.0,1767,1.0,0.9999998434671832,-13.092261624843921,0,0,0,0,0.0,9999,1261.5
GWK60_A01661,GWK60_A01661,ORF,CP048230.1,209025,211829,C,2805,1,1,0.00035650623885918,0.494949494949495,0.37121212121212116,2774,0.9889483065953654,0.9889483065905592,-12.092261624843921,0,0,0,0,0.0,2805.0,1388.3333333333333
GWK60_A01683,GWK60_A01683,ORF,CP048230.1,212460,214844,C,2385,0,0,0.0,0.0,0.0,2385,1.0,0.9999999996759101,-13.092261624843921,0,0,0,0,0.0,9999,1509.5
GWK60_A01705,GWK60_A01705,ORF,CP048230.1,215685,215951,W,267,0,0,0.0,0.0,0.0,267,1.0,0.6615031592029524,-13.092261624843921,0,0,0,0,0.0,9999,3910.0
GWK60_A01727,GWK60_A01727,ORF,CP048230.1,216271,227502,W,11232,0,0,0.0,0.0,0.0,11232,1.0,1.0,-13.092261624843921,0,0,0,0,0.0,9999,1900.0
GWK60_A01771,GWK60_A01771,ORF,CP048230.1,228106,229326,W,1221,0,0,0.0,0.0,0.0,1221,1.0,0.9999632008863909,-13.092261624843921,0,0,0,0,0.0,9999,1263.3333333333333
