Bin index,yH298-parent-pool2,yH298-parent-pool2 rank
CP048234.1-18,1,954
CP048234.1-19,14,93
CP048234.1-20,12,131
CP048234.1-21,6,367
CP048234.1-22,10,177
CP048234.1-23,32,13
CP048234.1-24,8,255
CP048234.1-25,19,51
CP048234.1-26,18,59
CP048234.1-27,14,94
CP048234.1-28,13,106
CP048234.1-29,8,256
CP048234.1-30,18,60
CP048234.1-31,24,32
CP048234.1-32,12,132
CP048234.1-33,3,649
CP048234.1-34,0,1125
CP048234.1-35,2,788
CP048234.1-36,6,368
CP048234.1-37,2,789
CP048234.1-38,3,650
CP048234.1-39,9,211
CP048234.1-40,3,651
CP048234.1-41,5,442
CP048234.1-42,1,955
CP048234.1-43,10,178
CP048234.1-44,12,133
CP048234.1-45,3,652
CP048234.1-46,13,107
CP048234.1-47,5,443
CP048234.1-48,4,543
CP048234.1-49,15,82
CP048234.1-50,7,309
CP048234.1-51,1,956
CP048234.1-52,4,544
CP048234.1-53,1,957
CP048234.1-54,1,958
CP048234.1-55,4,545
CP048234.1-56,3,653
CP048234.1-57,10,179
CP048234.1-58,4,546
CP048234.1-59,0,1126
CP048234.1-60,0,1127
CP048234.1-61,2,790
CP048234.1-62,9,212
CP048234.1-63,5,444
CP048234.1-64,9,213
CP048234.1-65,6,369
CP048234.1-66,3,654
CP048235.1-0,0,1128
CP048235.1-1,0,1129
CP048235.1-2,0,1130
CP048235.1-3,3,655
CP048235.1-4,7,310
CP048235.1-5,9,214
CP048235.1-6,0,1131
CP048235.1-7,7,311
CP048235.1-8,21,40
CP048235.1-9,10,180
CP048235.1-10,6,370
CP048235.1-11,2,791
CP048235.1-12,1,959
CP048235.1-13,4,547
CP048235.1-14,11,151
CP048235.1-15,8,257
CP048235.1-16,37,6
CP048235.1-17,1,960
CP048235.1-18,8,258
CP048235.1-19,13,108
CP048235.1-20,18,61
CP048235.1-21,2,792
CP048235.1-22,7,312
CP048235.1-23,15,83
CP048235.1-24,32,14
CP048235.1-25,19,52
CP048235.1-26,4,548
CP048235.1-27,13,109
CP048235.1-28,3,656
CP048235.1-29,4,549
CP048235.1-30,12,134
CP048235.1-31,3,657
CP048235.1-32,2,793
CP048235.1-33,6,371
CP048235.1-34,15,84
CP048235.1-35,11,152
CP048235.1-36,5,445
CP048235.1-37,9,215
CP048235.1-38,2,794
CP048235.1-39,2,795
CP048235.1-40,1,961
CP048235.1-41,2,796
CP048235.1-42,3,658
CP048235.1-43,14,95
CP048235.1-44,1,962
CP048235.1-45,2,797
CP048235.1-46,6,372
CP048235.1-47,5,446
CP048235.1-48,5,447
CP048235.1-49,1,963
CP048235.1-50,10,181
CP048235.1-51,2,798
CP048235.1-52,1,964
CP048235.1-53,4,550
CP048235.1-54,1,965
CP048235.1-55,2,799
CP048235.1-56,2,800
CP048235.1-57,1,966
CP048235.1-58,2,801
CP048235.1-59,0,1132
CP048235.1-60,8,259
CP048235.1-61,9,216
CP048235.1-62,7,313
CP048235.1-63,6,373
CP048235.1-64,5,448
CP048235.1-65,0,1133
CP048235.1-66,2,802
CP048235.1-67,2,803
CP048235.1-68,2,804
CP048235.1-69,13,110
CP048235.1-70,9,217
CP048235.1-71,1,967
CP048235.1-72,0,1134
CP048235.1-73,3,659
CP048235.1-74,7,314
CP048235.1-75,16,73
CP048235.1-76,3,660
CP048235.1-77,0,1135
CP048235.1-78,1,968
CP048235.1-79,4,551
CP048235.1-80,5,449
CP048235.1-81,7,315
CP048235.1-82,1,969
CP048235.1-83,5,450
CP048235.1-84,3,661
CP048235.1-85,0,1136
CP048235.1-86,4,552
CP048235.1-87,2,805
CP048235.1-88,7,316
CP048235.1-89,1,970
CP048235.1-90,6,374
CP048235.1-91,2,806
CP048235.1-92,3,662
CP048236.1-0,0,1137
CP048236.1-1,0,1138
CP048236.1-2,1,971
CP048236.1-3,19,53
CP048236.1-4,20,46
CP048236.1-5,29,17
CP048236.1-6,2,807
CP048236.1-7,15,85
CP048236.1-8,17,65
CP048236.1-9,8,260
CP048236.1-10,6,375
CP048236.1-11,26,26
CP048236.1-12,14,96
CP048236.1-13,9,218
CP048236.1-14,7,317
CP048236.1-15,4,553
CP048236.1-16,10,182
CP048236.1-17,3,663
CP048236.1-18,2,808
CP048236.1-19,9,219
CP048236.1-20,15,86
CP048236.1-21,2,809
CP048236.1-22,2,810
CP048236.1-23,6,376
CP048236.1-24,1,972
CP048236.1-25,0,1139
CP048236.1-26,2,811
CP048236.1-27,10,183
CP048236.1-28,11,153
CP048236.1-29,5,451
CP048236.1-30,0,1140
CP048236.1-31,3,664
CP048236.1-32,4,554
CP048236.1-33,4,555
CP048236.1-34,0,1141
CP048236.1-35,3,665
CP048236.1-36,6,377
CP048236.1-37,3,666
CP048236.1-38,2,812
CP048236.1-39,10,184
CP048236.1-40,1,973
CP048236.1-41,1,974
CP048236.1-42,2,813
CP048236.1-43,2,814
CP048236.1-44,5,452
CP048236.1-45,3,667
CP048236.1-46,1,975
CP048236.1-47,12,135
CP048236.1-48,1,976
CP048236.1-49,0,1142
CP048236.1-50,0,1143
CP048236.1-51,13,111
CP048236.1-52,2,815
CP048236.1-53,1,977
CP048236.1-54,5,453
CP048236.1-55,5,454
CP048236.1-56,5,455
CP048236.1-57,10,185
CP048236.1-58,9,220
CP048236.1-59,4,556
CP048236.1-60,5,456
CP048236.1-61,1,978
CP048236.1-62,3,668
CP048236.1-63,5,457
CP048236.1-64,7,318
CP048236.1-65,1,979
CP048236.1-66,3,669
CP048236.1-67,3,670
CP048236.1-68,1,980
CP048236.1-69,2,816
CP048236.1-70,9,221
CP048236.1-71,3,671
CP048236.1-72,1,981
CP048236.1-73,4,557
CP048236.1-74,2,817
CP048236.1-75,2,818
CP048236.1-76,1,982
CP048236.1-77,3,672
CP048236.1-78,5,458
CP048236.1-79,1,983
CP048236.1-80,0,1144
CP048236.1-81,1,984
CP048236.1-82,7,319
CP048236.1-83,5,459
CP048236.1-84,5,460
CP048236.1-85,0,1145
CP048236.1-86,2,819
CP048236.1-87,16,74
CP048236.1-88,2,820
CP048236.1-89,1,985
CP048236.1-90,3,673
CP048236.1-91,1,986
CP048236.1-92,3,674
CP048236.1-93,5,461
CP048236.1-94,2,821
CP048236.1-95,2,822
CP048236.1-96,7,320
CP048236.1-97,0,1146
CP048236.1-98,7,321
CP048237.1-0,0,1147
CP048237.1-1,0,1148
CP048237.1-2,4,558
CP048237.1-3,3,675
CP048237.1-4,3,676
CP048237.1-5,3,677
CP048237.1-6,1,987
CP048237.1-7,16,75
CP048237.1-8,5,462
CP048237.1-9,2,823
CP048237.1-10,1,988
CP048237.1-11,4,559
CP048237.1-12,2,824
CP048237.1-13,4,560
CP048237.1-14,1,989
CP048237.1-15,0,1149
CP048237.1-16,2,825
