Bin index,yH298-H2O2-treated-facs-pool1,yH298-H2O2-treated-facs-pool1 rank
CP048234.1-20,6,308
CP048234.1-21,5,382
CP048234.1-22,12,104
CP048234.1-23,36,9
CP048234.1-24,9,170
CP048234.1-25,19,44
CP048234.1-26,12,105
CP048234.1-27,9,171
CP048234.1-28,7,257
CP048234.1-29,4,476
CP048234.1-30,14,72
CP048234.1-31,16,57
CP048234.1-32,12,106
CP048234.1-33,12,107
CP048234.1-34,1,912
CP048234.1-35,1,913
CP048234.1-36,9,172
CP048234.1-37,1,914
CP048234.1-38,2,718
CP048234.1-39,11,127
CP048234.1-40,1,915
CP048234.1-41,5,383
CP048234.1-42,1,916
CP048234.1-43,8,213
CP048234.1-44,13,83
CP048234.1-45,0,1090
CP048234.1-46,15,62
CP048234.1-47,8,214
CP048234.1-48,4,477
CP048234.1-49,9,173
CP048234.1-50,6,309
CP048234.1-51,0,1091
CP048234.1-52,13,84
CP048234.1-53,5,384
CP048234.1-54,1,917
CP048234.1-55,1,918
CP048234.1-56,5,385
CP048234.1-57,9,174
CP048234.1-58,6,310
CP048234.1-59,2,719
CP048234.1-60,3,585
CP048234.1-61,2,720
CP048234.1-62,8,215
CP048234.1-63,11,128
CP048234.1-64,4,478
CP048234.1-65,3,586
CP048234.1-66,5,386
CP048234.1-67,1,919
CP048235.1-0,0,1092
CP048235.1-1,0,1093
CP048235.1-2,1,920
CP048235.1-3,10,146
CP048235.1-4,4,479
CP048235.1-5,7,258
CP048235.1-6,0,1094
CP048235.1-7,13,85
CP048235.1-8,24,23
CP048235.1-9,4,480
CP048235.1-10,4,481
CP048235.1-11,1,921
CP048235.1-12,2,721
CP048235.1-13,7,259
CP048235.1-14,13,86
CP048235.1-15,4,482
CP048235.1-16,24,24
CP048235.1-17,0,1095
CP048235.1-18,5,387
CP048235.1-19,13,87
CP048235.1-20,14,73
CP048235.1-21,2,722
CP048235.1-22,5,388
CP048235.1-23,10,147
CP048235.1-24,31,13
CP048235.1-25,15,63
CP048235.1-26,5,389
CP048235.1-27,15,64
CP048235.1-28,3,587
CP048235.1-29,1,922
CP048235.1-30,12,108
CP048235.1-31,6,311
CP048235.1-32,0,1096
CP048235.1-33,4,483
CP048235.1-34,11,129
CP048235.1-35,5,390
CP048235.1-36,2,723
CP048235.1-37,9,175
CP048235.1-38,0,1097
CP048235.1-39,2,724
CP048235.1-40,2,725
CP048235.1-41,2,726
CP048235.1-42,2,727
CP048235.1-43,21,35
CP048235.1-44,0,1098
CP048235.1-45,0,1099
CP048235.1-46,3,588
CP048235.1-47,4,484
CP048235.1-48,5,391
CP048235.1-49,2,728
CP048235.1-50,10,148
CP048235.1-51,1,923
CP048235.1-52,2,729
CP048235.1-53,6,312
CP048235.1-54,2,730
CP048235.1-55,8,216
CP048235.1-56,0,1100
CP048235.1-57,0,1101
CP048235.1-58,5,392
CP048235.1-59,2,731
CP048235.1-60,4,485
CP048235.1-61,3,589
CP048235.1-62,4,486
CP048235.1-63,4,487
CP048235.1-64,4,488
CP048235.1-65,0,1102
CP048235.1-66,1,924
CP048235.1-67,1,925
CP048235.1-68,1,926
CP048235.1-69,3,590
CP048235.1-70,4,489
CP048235.1-71,0,1103
CP048235.1-72,0,1104
CP048235.1-73,3,591
CP048235.1-74,4,490
CP048235.1-75,8,217
CP048235.1-76,1,927
CP048235.1-77,3,592
CP048235.1-78,2,732
CP048235.1-79,2,733
CP048235.1-80,3,593
CP048235.1-81,10,149
CP048235.1-82,1,928
CP048235.1-83,3,594
CP048235.1-84,5,393
CP048235.1-85,0,1105
CP048235.1-86,3,595
CP048235.1-87,0,1106
CP048235.1-88,11,130
CP048235.1-89,2,734
CP048235.1-90,9,176
CP048235.1-91,5,394
CP048235.1-92,1,929
CP048236.1-0,1,930
CP048236.1-1,0,1107
CP048236.1-2,0,1108
CP048236.1-3,9,177
CP048236.1-4,12,109
CP048236.1-5,29,16
CP048236.1-6,3,596
CP048236.1-7,6,313
CP048236.1-8,15,65
CP048236.1-9,10,150
CP048236.1-10,7,260
CP048236.1-11,17,52
CP048236.1-12,7,261
CP048236.1-13,6,314
CP048236.1-14,2,735
CP048236.1-15,5,395
CP048236.1-16,7,262
CP048236.1-17,5,396
CP048236.1-18,0,1109
CP048236.1-19,4,491
CP048236.1-20,14,74
CP048236.1-21,2,736
CP048236.1-22,1,931
CP048236.1-23,6,315
CP048236.1-24,2,737
CP048236.1-25,1,932
CP048236.1-26,3,597
CP048236.1-27,9,178
CP048236.1-28,12,110
CP048236.1-29,3,598
CP048236.1-30,2,738
CP048236.1-31,6,316
CP048236.1-32,4,492
CP048236.1-33,3,599
CP048236.1-34,0,1110
CP048236.1-35,3,600
CP048236.1-36,6,317
CP048236.1-37,5,397
CP048236.1-38,7,263
CP048236.1-39,9,179
CP048236.1-40,2,739
CP048236.1-41,1,933
CP048236.1-42,2,740
CP048236.1-43,4,493
CP048236.1-44,2,741
CP048236.1-45,0,1111
CP048236.1-46,1,934
CP048236.1-47,12,111
CP048236.1-48,0,1112
CP048236.1-49,2,742
CP048236.1-50,2,743
CP048236.1-51,12,112
CP048236.1-52,1,935
CP048236.1-53,5,398
CP048236.1-54,2,744
CP048236.1-55,8,218
CP048236.1-56,0,1113
CP048236.1-57,8,219
CP048236.1-58,5,399
CP048236.1-59,7,264
CP048236.1-60,7,265
CP048236.1-61,0,1114
CP048236.1-62,1,936
CP048236.1-63,7,266
CP048236.1-64,6,318
CP048236.1-65,0,1115
CP048236.1-66,2,745
CP048236.1-67,0,1116
CP048236.1-68,2,746
CP048236.1-69,0,1117
CP048236.1-70,12,113
CP048236.1-71,3,601
CP048236.1-72,1,937
CP048236.1-73,5,400
CP048236.1-74,3,602
CP048236.1-75,1,938
CP048236.1-76,1,939
CP048236.1-77,3,603
CP048236.1-78,6,319
CP048236.1-79,3,604
CP048236.1-80,0,1118
CP048236.1-81,0,1119
CP048236.1-82,4,494
CP048236.1-83,1,940
CP048236.1-84,5,401
CP048236.1-85,0,1120
CP048236.1-86,2,747
CP048236.1-87,11,131
CP048236.1-88,2,748
CP048236.1-89,3,605
CP048236.1-90,1,941
CP048236.1-91,4,495
CP048236.1-92,3,606
CP048236.1-93,7,267
CP048236.1-94,3,607
CP048236.1-95,2,749
CP048236.1-96,6,320
CP048236.1-97,0,1121
CP048236.1-98,8,220
CP048236.1-99,0,1122
CP048236.1-100,1,942
CP048237.1-0,0,1123
CP048237.1-1,0,1124
CP048237.1-2,4,496
CP048237.1-3,5,402
CP048237.1-4,1,943
CP048237.1-5,5,403
CP048237.1-6,0,1125
CP048237.1-7,9,180
CP048237.1-8,6,321
CP048237.1-9,0,1126
CP048237.1-10,0,1127
CP048237.1-11,2,750
CP048237.1-12,0,1128
CP048237.1-13,3,608
CP048237.1-14,0,1129
CP048237.1-15,0,1130
CP048237.1-16,0,1131
CP048237.1-17,2,751
CP048237.1-18,2,752
CP048237.1-19,3,609
CP048237.1-20,4,497
CP048237.1-21,3,610
CP048237.1-22,4,498
CP048237.1-23,2,753
CP048237.1-24,5,404
CP048237.1-25,1,944
CP048237.1-26,0,1132
CP048237.1-27,2,754
CP048237.1-28,2,755
CP048237.1-29,1,945
CP048237.1-30,0,1133
CP048237.1-31,3,611
CP048237.1-32,4,499
CP048237.1-33,3,612
CP048237.1-34,3,613
CP048237.1-35,2,756
CP048237.1-36,1,946
CP048237.1-37,0,1134
CP048237.1-38,1,947
CP048237.1-39,5,405
CP048237.1-40,5,406
CP048237.1-41,0,1135
CP048237.1-42,0,1136
CP048237.1-43,1,948
CP048237.1-44,5,407
CP048237.1-45,2,757
CP048237.1-46,5,408
CP048237.1-47,3,614
CP048237.1-48,4,500
CP048237.1-49,3,615
CP048237.1-50,0,1137
CP048237.1-51,4,501
CP048237.1-52,1,949
CP048237.1-53,0,1138
CP048237.1-54,10,151
CP048237.1-55,1,950
CP048237.1-56,3,616
CP048237.1-57,7,268
CP048237.1-58,2,758
CP048237.1-59,1,951
CP048237.1-60,2,759
CP048237.1-61,5,409
CP048237.1-62,3,617
CP048237.1-63,3,618
CP048237.1-64,8,221
CP048237.1-65,3,619
CP048237.1-66,1,952
CP048237.1-67,4,502
CP048237.1-68,4,503
CP048237.1-69,2,760
CP048237.1-70,0,1139
CP048237.1-71,1,953
CP048237.1-72,0,1140
CP048237.1-73,13,88
CP048237.1-74,4,504
CP048237.1-75,9,181
CP048237.1-76,2,761
CP048237.1-77,1,954
CP048237.1-78,4,505
CP048237.1-79,6,322
CP048237.1-80,3,620
CP048237.1-81,4,506
CP048237.1-82,13,89
CP048237.1-83,3,621
CP048237.1-84,1,955
CP048237.1-85,12,114
CP048237.1-86,14,75
CP048237.1-87,14,76
CP048237.1-88,7,269
CP048237.1-89,8,222
CP048237.1-90,10,152
CP048237.1-91,31,14
CP048237.1-92,8,223
CP048237.1-93,4,507
CP048237.1-94,5,410
CP048237.1-95,23,27
CP048237.1-96,4,508
CP048237.1-97,36,10
CP048237.1-98,16,58
CP048237.1-99,47,1
CP048237.1-100,9,182
CP048237.1-101,3,622
CP048237.1-102,7,270
CP048237.1-103,3,623
CP048237.1-104,5,411
CP048237.1-105,2,762
CP048238.1-0,0,1141
CP048238.1-1,0,1142
CP048238.1-2,3,624
CP048238.1-3,1,956
CP048238.1-4,11,132
CP048238.1-5,5,412
CP048238.1-6,9,183
CP048238.1-7,6,323
CP048238.1-8,5,413
CP048238.1-9,0,1143
CP048238.1-10,0,1144
CP048238.1-11,1,957
CP048238.1-12,4,509
CP048238.1-13,3,625
CP048238.1-14,2,763
CP048238.1-15,9,184
CP048238.1-16,4,510
CP048238.1-17,21,36
CP048238.1-18,5,414
CP048238.1-19,2,764
CP048238.1-20,3,626
CP048238.1-21,0,1145
CP048238.1-22,1,958
CP048238.1-23,1,959
CP048238.1-24,2,765
CP048238.1-25,6,324
CP048238.1-26,5,415
CP048238.1-27,9,185
CP048238.1-28,7,271
CP048238.1-29,14,77
CP048238.1-30,1,960
CP048238.1-31,6,325
CP048238.1-32,10,153
CP048238.1-33,7,272
CP048238.1-34,2,766
CP048238.1-35,13,90
CP048238.1-36,13,91
CP048238.1-37,10,154
CP048238.1-38,1,961
CP048238.1-39,21,37
CP048238.1-40,24,25
CP048238.1-41,2,767
CP048238.1-42,6,326
CP048238.1-43,14,78
CP048238.1-44,31,15
CP048238.1-45,8,224
CP048238.1-46,2,768
CP048238.1-47,5,416
CP048238.1-48,12,115
CP048238.1-49,5,417
CP048238.1-50,3,627
CP048238.1-51,4,511
CP048238.1-52,1,962
CP048238.1-53,6,327
CP048238.1-54,2,769
CP048238.1-55,9,186
CP048238.1-56,1,963
CP048238.1-57,7,273
CP048238.1-58,0,1146
CP048238.1-59,3,628
CP048238.1-60,3,629
CP048238.1-61,0,1147
CP048238.1-62,1,964
CP048238.1-63,1,965
CP048238.1-64,0,1148
CP048238.1-65,1,966
CP048238.1-66,1,967
CP048238.1-67,7,274
CP048238.1-68,14,79
CP048238.1-69,2,770
CP048238.1-70,10,155
CP048238.1-71,9,187
CP048238.1-72,2,771
CP048238.1-73,5,418
CP048239.1-0,0,1149
CP048239.1-1,0,1150
CP048239.1-2,1,968
CP048239.1-3,4,512
CP048239.1-4,2,772
CP048239.1-5,3,630
CP048239.1-6,4,513
CP048239.1-7,1,969
CP048239.1-8,8,225
CP048239.1-9,1,970
CP048239.1-10,13,92
CP048239.1-11,0,1151
CP048239.1-12,1,971
CP048239.1-13,4,514
CP048239.1-14,1,972
CP048239.1-15,9,188
CP048239.1-16,2,773
CP048239.1-17,13,93
CP048239.1-18,15,66
CP048239.1-19,2,774
CP048239.1-20,3,631
CP048239.1-21,5,419
CP048239.1-22,8,226
CP048239.1-23,44,2
CP048239.1-24,20,41
CP048239.1-25,10,156
CP048239.1-26,2,775
CP048239.1-27,12,116
CP048239.1-28,7,275
CP048239.1-29,7,276
CP048239.1-30,9,189
CP048239.1-31,6,328
CP048239.1-32,2,776
CP048239.1-33,6,329
CP048239.1-34,1,973
CP048239.1-35,3,632
CP048239.1-36,2,777
CP048239.1-37,3,633
CP048239.1-38,4,515
CP048239.1-39,2,778
CP048239.1-40,4,516
CP048239.1-41,8,227
CP048239.1-42,3,634
CP048239.1-43,2,779
CP048239.1-44,5,420
CP048239.1-45,2,780
CP048239.1-46,3,635
CP048239.1-47,0,1152
CP048239.1-48,3,636
CP048239.1-49,1,974
CP048239.1-50,2,781
CP048239.1-51,3,637
CP048239.1-52,0,1153
CP048239.1-53,2,782
CP048239.1-54,2,783
CP048239.1-55,0,1154
CP048239.1-56,1,975
CP048239.1-57,1,976
CP048239.1-58,0,1155
CP048239.1-59,2,784
CP048239.1-60,3,638
CP048239.1-61,3,639
CP048239.1-62,1,977
CP048239.1-63,0,1156
CP048239.1-64,5,421
CP048239.1-65,8,228
CP048239.1-66,2,785
CP048239.1-67,1,978
CP048239.1-68,2,786
CP048239.1-69,0,1157
CP048239.1-70,2,787
CP048239.1-71,4,517
CP048239.1-72,6,330
CP048239.1-73,6,331
CP048239.1-74,4,518
CP048239.1-75,0,1158
CP048239.1-76,3,640
CP048239.1-77,2,788
CP048239.1-78,1,979
CP048239.1-79,2,789
CP048239.1-80,0,1159
CP048239.1-81,1,980
CP048239.1-82,1,981
CP048239.1-83,0,1160
CP048239.1-84,2,790
CP048239.1-85,0,1161
CP048239.1-86,4,519
CP048239.1-87,2,791
CP048239.1-88,2,792
CP048239.1-89,3,641
CP048239.1-90,4,520
CP048239.1-91,1,982
CP048239.1-92,3,642
CP048239.1-93,1,983
CP048239.1-94,3,643
CP048239.1-95,12,117
CP048239.1-96,2,793
CP048239.1-97,1,984
CP048239.1-98,0,1162
CP048239.1-99,4,521
CP048239.1-100,2,794
CP048239.1-101,4,522
CP048239.1-102,5,422
CP048239.1-103,1,985
CP048239.1-104,1,986
CP048239.1-105,0,1163
CP048239.1-106,6,332
CP048239.1-107,0,1164
CP048239.1-108,0,1165
CP048239.1-109,0,1166
CP048239.1-110,0,1167
CP048239.1-111,3,644
CP048239.1-112,7,277
CP048239.1-113,4,523
CP048239.1-114,2,795
CP048239.1-115,1,987
CP048239.1-116,2,796
CP048239.1-117,3,645
CP048239.1-118,1,988
CP048239.1-119,5,423
CP048239.1-120,3,646
CP048239.1-121,4,524
CP048240.1-0,0,1168
CP048240.1-1,0,1169
CP048240.1-2,0,1170
CP048240.1-3,6,333
CP048240.1-4,2,797
CP048240.1-5,0,1171
CP048240.1-6,6,334
CP048240.1-7,7,278
CP048240.1-8,3,647
CP048240.1-9,2,798
CP048240.1-10,2,799
CP048240.1-11,8,229
CP048240.1-12,0,1172
CP048240.1-13,0,1173
CP048240.1-14,18,49
CP048240.1-15,4,525
CP048240.1-16,2,800
CP048240.1-17,6,335
CP048240.1-18,9,190
CP048240.1-19,15,67
CP048240.1-20,1,989
CP048240.1-21,3,648
CP048240.1-22,6,336
CP048240.1-23,5,424
CP048240.1-24,15,68
CP048240.1-25,22,30
CP048240.1-26,19,45
CP048240.1-27,26,21
CP048240.1-28,9,191
CP048240.1-29,23,28
CP048240.1-30,4,526
CP048240.1-31,9,192
CP048240.1-32,11,133
CP048240.1-33,5,425
CP048240.1-34,8,230
CP048240.1-35,2,801
CP048240.1-36,1,990
CP048240.1-37,9,193
CP048240.1-38,3,649
CP048240.1-39,3,650
CP048240.1-40,10,157
CP048240.1-41,6,337
CP048240.1-42,8,231
CP048240.1-43,3,651
CP048240.1-44,4,527
CP048240.1-45,5,426
CP048240.1-46,2,802
CP048240.1-47,7,279
CP048240.1-48,2,803
CP048240.1-49,1,991
CP048240.1-50,0,1174
CP048240.1-51,0,1175
CP048240.1-52,1,992
CP048240.1-53,4,528
CP048240.1-54,2,804
CP048240.1-55,2,805
CP048240.1-56,9,194
CP048240.1-57,7,280
CP048240.1-58,6,338
CP048240.1-59,0,1176
CP048240.1-60,3,652
CP048240.1-61,3,653
CP048240.1-62,1,993
CP048240.1-63,2,806
CP048240.1-64,1,994
CP048240.1-65,3,654
CP048240.1-66,3,655
CP048240.1-67,2,807
CP048240.1-68,5,427
CP048240.1-69,1,995
CP048240.1-70,0,1177
CP048240.1-71,5,428
CP048240.1-72,8,232
CP048240.1-73,5,429
CP048240.1-74,4,529
CP048240.1-75,2,808
CP048240.1-76,2,809
CP048240.1-77,4,530
CP048240.1-78,1,996
CP048240.1-79,3,656
CP048240.1-80,0,1178
CP048240.1-81,2,810
CP048240.1-82,2,811
CP048240.1-83,2,812
CP048240.1-84,3,657
CP048240.1-85,1,997
CP048240.1-86,3,658
CP048240.1-87,5,430
CP048240.1-88,10,158
CP048240.1-89,2,813
CP048240.1-90,1,998
CP048240.1-91,4,531
CP048240.1-92,0,1179
CP048240.1-93,6,339
CP048240.1-94,0,1180
CP048240.1-95,1,999
CP048240.1-96,0,1181
CP048240.1-97,4,532
CP048240.1-98,4,533
CP048240.1-99,6,340
CP048240.1-100,2,814
CP048240.1-101,1,1000
CP048240.1-102,1,1001
CP048240.1-103,5,431
CP048240.1-104,4,534
CP048240.1-105,2,815
CP048240.1-106,9,195
CP048240.1-107,3,659
CP048240.1-108,0,1182
CP048240.1-109,1,1002
CP048240.1-110,2,816
CP048240.1-111,5,432
CP048240.1-112,2,817
CP048240.1-113,2,818
CP048240.1-114,0,1183
CP048240.1-115,7,281
CP048240.1-116,1,1003
CP048240.1-117,4,535
CP048240.1-118,3,660
CP048240.1-119,2,819
CP048240.1-120,4,536
CP048240.1-121,2,820
CP048240.1-122,3,661
CP048240.1-123,1,1004
CP048240.1-124,1,1005
CP048240.1-125,1,1006
CP048240.1-126,5,433
CP048240.1-127,8,233
CP048240.1-128,2,821
CP048240.1-129,4,537
CP048241.1-0,0,1184
CP048241.1-1,0,1185
CP048241.1-2,6,341
CP048241.1-3,2,822
CP048241.1-4,4,538
CP048241.1-5,5,434
CP048241.1-6,0,1186
CP048241.1-7,5,435
CP048241.1-8,0,1187
CP048241.1-9,2,823
CP048241.1-10,2,824
CP048241.1-11,17,53
CP048241.1-12,3,662
CP048241.1-13,0,1188
CP048241.1-14,2,825
CP048241.1-15,1,1007
CP048241.1-16,3,663
CP048241.1-17,1,1008
CP048241.1-18,6,342
CP048241.1-19,0,1189
CP048241.1-20,0,1190
CP048241.1-21,0,1191
CP048241.1-22,6,343
CP048241.1-23,1,1009
CP048241.1-24,3,664
CP048241.1-25,2,826
CP048241.1-26,0,1192
CP048241.1-27,4,539
CP048241.1-28,3,665
CP048241.1-29,1,1010
CP048241.1-30,1,1011
CP048241.1-31,1,1012
CP048241.1-32,1,1013
CP048241.1-33,3,666
CP048241.1-34,0,1193
CP048241.1-35,4,540
CP048241.1-36,2,827
CP048241.1-37,5,436
CP048241.1-38,7,282
CP048241.1-39,2,828
CP048241.1-40,5,437
CP048241.1-41,0,1194
CP048241.1-42,2,829
CP048241.1-43,3,667
CP048241.1-44,2,830
CP048241.1-45,6,344
CP048241.1-46,9,196
CP048241.1-47,5,438
CP048241.1-48,4,541
CP048241.1-49,5,439
CP048241.1-50,2,831
CP048241.1-51,3,668
CP048241.1-52,2,832
CP048241.1-53,0,1195
CP048241.1-54,3,669
CP048241.1-55,2,833
CP048241.1-56,1,1014
CP048241.1-57,6,345
CP048241.1-58,2,834
CP048241.1-59,0,1196
CP048241.1-60,2,835
CP048241.1-61,4,542
CP048241.1-62,3,670
CP048241.1-63,3,671
CP048241.1-64,8,234
CP048241.1-65,3,672
CP048241.1-66,6,346
CP048241.1-67,4,543
CP048241.1-68,3,673
CP048241.1-69,8,235
CP048241.1-70,1,1015
CP048241.1-71,2,836
CP048241.1-72,5,440
CP048241.1-73,1,1016
CP048241.1-74,0,1197
CP048241.1-75,6,347
CP048241.1-76,1,1017
CP048241.1-77,2,837
CP048241.1-78,7,283
CP048241.1-79,5,441
CP048241.1-80,0,1198
CP048241.1-81,3,674
CP048241.1-82,0,1199
CP048241.1-83,2,838
CP048241.1-84,6,348
CP048241.1-85,4,544
CP048241.1-86,4,545
CP048241.1-87,1,1018
CP048241.1-88,2,839
CP048241.1-89,2,840
CP048241.1-90,5,442
CP048241.1-91,8,236
CP048241.1-92,17,54
CP048241.1-93,4,546
CP048241.1-94,7,284
CP048241.1-95,2,841
CP048241.1-96,0,1200
CP048241.1-97,1,1019
CP048241.1-98,9,197
CP048241.1-99,1,1020
