Bin index,yH298-parent-pool1_normalized,yH298-parent-pool1_normalized rank
CP048234.1-16,3,677
CP048234.1-17,4,551
CP048234.1-18,2,814
CP048234.1-19,14,94
CP048234.1-20,9,222
CP048234.1-21,10,191
CP048234.1-22,11,162
CP048234.1-23,34,10
CP048234.1-24,6,366
CP048234.1-25,17,64
CP048234.1-26,21,43
CP048234.1-27,13,114
CP048234.1-28,18,59
CP048234.1-29,5,458
CP048234.1-30,19,53
CP048234.1-31,31,20
CP048234.1-32,10,192
CP048234.1-33,6,367
CP048234.1-34,0,1143
CP048234.1-35,3,678
CP048234.1-36,11,163
CP048234.1-37,5,459
CP048234.1-38,2,815
CP048234.1-39,11,164
CP048234.1-40,4,552
CP048234.1-41,8,256
CP048234.1-42,6,368
CP048234.1-43,9,223
CP048234.1-44,19,54
CP048234.1-45,4,553
CP048234.1-46,17,65
CP048234.1-47,0,1144
CP048234.1-48,5,460
CP048234.1-49,13,115
CP048234.1-50,7,309
CP048234.1-51,1,968
CP048234.1-52,5,461
CP048234.1-53,5,462
CP048234.1-54,2,816
CP048234.1-55,1,969
CP048234.1-56,2,817
CP048234.1-57,11,165
CP048234.1-58,8,257
CP048234.1-59,5,463
CP048234.1-60,0,1145
CP048234.1-61,7,310
CP048234.1-62,10,193
CP048234.1-63,11,166
CP048234.1-64,8,258
CP048234.1-65,6,369
CP048234.1-66,6,370
CP048234.1-67,4,554
CP048234.1-68,2,818
CP048235.1-0,0,1146
CP048235.1-1,0,1147
CP048235.1-2,1,970
CP048235.1-3,3,679
CP048235.1-4,7,311
CP048235.1-5,10,194
CP048235.1-6,0,1148
CP048235.1-7,6,371
CP048235.1-8,16,69
CP048235.1-9,4,555
CP048235.1-10,7,312
CP048235.1-11,3,680
CP048235.1-12,7,313
CP048235.1-13,4,556
CP048235.1-14,14,95
CP048235.1-15,6,372
CP048235.1-16,33,11
CP048235.1-17,1,971
CP048235.1-18,2,819
CP048235.1-19,14,96
CP048235.1-20,14,97
CP048235.1-21,0,1149
CP048235.1-22,7,314
CP048235.1-23,18,60
CP048235.1-24,47,3
CP048235.1-25,18,61
CP048235.1-26,5,464
CP048235.1-27,15,78
CP048235.1-28,4,557
CP048235.1-29,3,681
CP048235.1-30,14,98
CP048235.1-31,7,315
