sample,input_path,total_reads,unique_sites,jackpot_top_frac,jackpot_frac_reads,n_jackpot_sites,midlc_est,depth_ratio_R_over_midlc,per_gene_top_site_removed,per_gene_sites_removed,normalize_target,reads_target,thinning_p,reads_after_norm,normalized_written,normalized_output,midlc_points,midlc_max_sampled,seqbias_done,centromere_done
yH298-H2O2-treated-facs-pool1,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-H2O2-treated-facs-pool1/yH298-H2O2-treated-facs-pool1_hits.txt,19547013,42920,0.001,0.0294976,43,102400,190.889,0,0,NA,NA,NA,NA,0,NA,10,19547013,1,1
yH298-H2O2-treated-facs-pool2,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-H2O2-treated-facs-pool2/yH298-H2O2-treated-facs-pool2_hits.txt,18790684,43463,0.001,0.0314772,44,102400,183.503,0,0,NA,NA,NA,NA,0,NA,10,18790684,1,1
yH298-parent-pool1,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-parent-pool1/yH298-parent-pool1_hits.txt,24416746,63543,0.001,0.0346216,64,102400,238.445,0,0,NA,NA,NA,NA,0,NA,10,24416746,1,1
yH298-parent-pool2,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-parent-pool2/yH298-parent-pool2_hits.txt,33901264,90967,0.001,0.0429893,91,409600,82.7668,0,0,NA,NA,NA,NA,0,NA,11,33901264,1,1
yH299-H2O2-treated-facs-pool3,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/create_hit_file/yH299-H2O2-treated-facs-pool3/yH299-H2O2-treated-facs-pool3_hits.txt,22233874,60021,0.001,0.0371104,61,102400,217.128,0,0,NA,NA,NA,NA,0,NA,10,22233874,1,1
yH299-H2O2-treated-facs-pool4,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/create_hit_file/yH299-H2O2-treated-facs-pool4/yH299-H2O2-treated-facs-pool4_hits.txt,20766254,30716,0.001,0.0828731,31,102400,202.795,0,0,NA,NA,NA,NA,0,NA,10,20766254,1,1
yH299-parent-pool3,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/create_hit_file/yH299-parent-pool3/yH299-parent-pool3_hits.txt,25534450,43833,0.001,0.0323067,44,102400,249.36,0,0,NA,NA,NA,NA,0,NA,10,25534450,1,1
yH299-parent-pool4,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/create_hit_file/yH299-parent-pool4/yH299-parent-pool4_hits.txt,17785287,26393,0.001,0.0253154,27,102400,173.684,0,0,NA,NA,NA,NA,0,NA,10,17785287,1,1
