Bin index,yH298-H2O2-treated-facs-pool2,yH298-H2O2-treated-facs-pool2 rank
CP048234.1-10,16,891
CP048234.1-11,18,829
CP048234.1-12,66,154
CP048234.1-13,57,198
CP048234.1-14,52,237
CP048234.1-15,31,501
CP048234.1-16,20,775
CP048234.1-17,15,917
CP048234.1-18,18,830
CP048234.1-19,68,140
CP048234.1-20,78,105
CP048234.1-21,54,219
CP048234.1-22,75,115
CP048234.1-23,170,12
CP048234.1-24,54,220
CP048234.1-25,85,85
CP048234.1-26,113,45
CP048234.1-27,52,238
CP048234.1-28,63,167
CP048234.1-29,49,268
CP048234.1-30,69,137
CP048234.1-31,123,39
CP048234.1-32,61,179
CP048234.1-33,55,213
CP048234.1-34,15,918
CP048234.1-35,19,801
CP048234.1-36,63,168
CP048234.1-37,41,356
CP048234.1-38,28,554
CP048234.1-39,65,158
CP048234.1-40,21,746
CP048234.1-41,25,630
CP048234.1-42,21,747
CP048234.1-43,73,120
CP048234.1-44,88,74
CP048234.1-45,24,658
CP048234.1-46,57,199
CP048234.1-47,28,555
CP048234.1-48,27,581
CP048234.1-49,64,164
CP048234.1-50,49,269
CP048234.1-51,13,968
CP048234.1-52,42,345
CP048234.1-53,24,659
CP048234.1-54,7,1120
CP048234.1-55,13,969
CP048234.1-56,38,395
CP048234.1-57,54,221
CP048234.1-58,39,382
CP048234.1-59,22,716
CP048234.1-60,10,1047
CP048234.1-61,41,357
CP048234.1-62,74,119
CP048234.1-63,24,660
CP048234.1-64,37,405
CP048234.1-65,26,601
CP048234.1-66,44,317
CP048234.1-67,21,748
CP048234.1-68,3,1204
CP048235.1-0,2,1219
CP048235.1-1,1,1230
CP048235.1-2,3,1205
CP048235.1-3,41,358
CP048235.1-4,59,191
CP048235.1-5,75,116
CP048235.1-6,10,1048
CP048235.1-7,49,270
CP048235.1-8,98,54
CP048235.1-9,32,483
CP048235.1-10,34,452
CP048235.1-11,19,802
CP048235.1-12,37,406
CP048235.1-13,22,717
CP048235.1-14,82,96
CP048235.1-15,43,329
CP048235.1-16,156,19
CP048235.1-17,16,892
CP048235.1-18,72,125
CP048235.1-19,71,129
CP048235.1-20,91,67
CP048235.1-21,21,749
CP048235.1-22,34,453
CP048235.1-23,87,77
CP048235.1-24,194,7
CP048235.1-25,90,68
CP048235.1-26,33,468
CP048235.1-27,87,78
CP048235.1-28,22,718
CP048235.1-29,40,371
CP048235.1-30,83,93
CP048235.1-31,33,469
CP048235.1-32,14,944
CP048235.1-33,25,631
CP048235.1-34,50,261
CP048235.1-35,43,330
CP048235.1-36,18,831
CP048235.1-37,54,222
CP048235.1-38,7,1121
CP048235.1-39,16,893
CP048235.1-40,18,832
CP048235.1-41,15,919
CP048235.1-42,50,262
CP048235.1-43,96,55
CP048235.1-44,4,1174
CP048235.1-45,17,864
CP048235.1-46,39,383
CP048235.1-47,57,200
CP048235.1-48,43,331
CP048235.1-49,22,719
CP048235.1-50,52,239
CP048235.1-51,23,683
CP048235.1-52,8,1093
CP048235.1-53,41,359
CP048235.1-54,15,920
CP048235.1-55,43,332
CP048235.1-56,15,921
CP048235.1-57,12,1000
CP048235.1-58,12,1001
CP048235.1-59,13,970
CP048235.1-60,38,396
CP048235.1-61,34,454
CP048235.1-62,44,318
CP048235.1-63,28,556
CP048235.1-64,26,602
