Bin index,combined_parent_hits.T102400,combined_parent_hits.T102400 rank
CP048234.1-10,44,969
CP048234.1-11,56,841
CP048234.1-12,162,188
CP048234.1-13,130,313
CP048234.1-14,136,279
CP048234.1-15,72,687
CP048234.1-16,57,832
CP048234.1-17,75,647
CP048234.1-18,67,736
CP048234.1-19,174,161
CP048234.1-20,193,126
CP048234.1-21,155,212
CP048234.1-22,210,103
CP048234.1-23,487,5
CP048234.1-24,193,127
CP048234.1-25,238,67
CP048234.1-26,300,36
CP048234.1-27,190,131
CP048234.1-28,163,183
CP048234.1-29,160,198
CP048234.1-30,204,108
CP048234.1-31,248,61
CP048234.1-32,150,228
CP048234.1-33,141,252
CP048234.1-34,43,979
CP048234.1-35,56,842
CP048234.1-36,214,97
CP048234.1-37,119,356
CP048234.1-38,96,485
CP048234.1-39,203,110
CP048234.1-40,55,854
CP048234.1-41,107,428
CP048234.1-42,63,777
CP048234.1-43,174,162
CP048234.1-44,219,86
CP048234.1-45,96,486
CP048234.1-46,131,310
CP048234.1-47,113,390
CP048234.1-48,65,759
CP048234.1-49,171,169
CP048234.1-50,157,205
CP048234.1-51,28,1120
CP048234.1-52,108,422
CP048234.1-53,74,664
CP048234.1-54,24,1149
CP048234.1-55,49,907
CP048234.1-56,119,357
CP048234.1-57,172,167
CP048234.1-58,137,275
CP048234.1-59,70,710
CP048234.1-60,29,1114
CP048234.1-61,120,351
CP048234.1-62,199,117
CP048234.1-63,106,433
CP048234.1-64,109,416
CP048234.1-65,80,614
CP048234.1-66,116,375
CP048234.1-67,48,926
CP048234.1-68,10,1218
CP048234.1-69,0,1260
CP048234.1-70,4,1237
CP048235.1-0,18,1182
CP048235.1-1,1,1254
CP048235.1-2,10,1219
CP048235.1-3,132,299
CP048235.1-4,170,172
CP048235.1-5,220,85
CP048235.1-6,15,1196
CP048235.1-7,151,223
CP048235.1-8,229,74
CP048235.1-9,74,665
CP048235.1-10,101,457
CP048235.1-11,64,768
CP048235.1-12,89,538
CP048235.1-13,67,737
CP048235.1-14,264,52
CP048235.1-15,114,385
CP048235.1-16,336,28
CP048235.1-17,50,902
CP048235.1-18,172,168
CP048235.1-19,173,164
CP048235.1-20,215,93
CP048235.1-21,61,796
CP048235.1-22,103,443
CP048235.1-23,228,75
CP048235.1-24,499,4
CP048235.1-25,251,60
CP048235.1-26,120,352
CP048235.1-27,193,128
CP048235.1-28,75,648
CP048235.1-29,102,453
CP048235.1-30,209,104
CP048235.1-31,75,649
CP048235.1-32,61,797
CP048235.1-33,84,583
CP048235.1-34,132,300
CP048235.1-35,119,358
CP048235.1-36,64,769
CP048235.1-37,163,184
CP048235.1-38,30,1107
CP048235.1-39,41,1004
CP048235.1-40,51,895
CP048235.1-41,79,624
CP048235.1-42,123,340
CP048235.1-43,239,66
CP048235.1-44,17,1186
CP048235.1-45,56,843
CP048235.1-46,114,386
CP048235.1-47,176,154
CP048235.1-48,141,253
CP048235.1-49,59,814
CP048235.1-50,137,276
CP048235.1-51,71,697
CP048235.1-52,25,1144
CP048235.1-53,153,217
CP048235.1-54,37,1046
CP048235.1-55,128,316
CP048235.1-56,39,1031
CP048235.1-57,45,953
CP048235.1-58,44,970
CP048235.1-59,32,1088
CP048235.1-60,114,387
CP048235.1-61,113,391
CP048235.1-62,101,458
CP048235.1-63,92,520
CP048235.1-64,63,778
CP048235.1-65,16,1190
CP048235.1-66,45,954
CP048235.1-67,30,1108
CP048235.1-68,52,883
CP048235.1-69,115,380
CP048235.1-70,138,273
CP048235.1-71,46,937
CP048235.1-72,45,955
CP048235.1-73,66,754
CP048235.1-74,113,392
CP048235.1-75,182,141
CP048235.1-76,54,863
CP048235.1-77,57,833
CP048235.1-78,29,1115
CP048235.1-79,59,815
CP048235.1-80,90,532
CP048235.1-81,101,459
CP048235.1-82,73,676
CP048235.1-83,64,770
CP048235.1-84,44,971
CP048235.1-85,29,1116
CP048235.1-86,122,341
CP048235.1-87,41,1005
CP048235.1-88,144,243
CP048235.1-89,86,571
CP048235.1-90,140,260
CP048235.1-91,87,560
CP048235.1-92,65,760
CP048235.1-93,19,1175
CP048236.1-0,18,1183
CP048236.1-1,1,1255
CP048236.1-2,19,1176
CP048236.1-3,187,133
CP048236.1-4,243,63
CP048236.1-5,391,14
CP048236.1-6,90,533
CP048236.1-7,142,249
CP048236.1-8,302,35
CP048236.1-9,269,50
CP048236.1-10,79,625
CP048236.1-11,262,54
CP048236.1-12,240,65
CP048236.1-13,183,139
CP048236.1-14,111,405
CP048236.1-15,134,287
CP048236.1-16,173,165
CP048236.1-17,88,553
CP048236.1-18,32,1089
CP048236.1-19,143,245
CP048236.1-20,179,149
CP048236.1-21,37,1047
CP048236.1-22,49,908
CP048236.1-23,107,429
CP048236.1-24,56,844
CP048236.1-25,65,761
CP048236.1-26,110,411
CP048236.1-27,133,294
CP048236.1-28,162,189
CP048236.1-29,99,470
CP048236.1-30,27,1127
CP048236.1-31,96,487
CP048236.1-32,59,816
CP048236.1-33,78,631
CP048236.1-34,20,1171
CP048236.1-35,74,666
CP048236.1-36,117,370
CP048236.1-37,69,718
CP048236.1-38,74,667
CP048236.1-39,158,200
CP048236.1-40,34,1068
CP048236.1-41,32,1090
CP048236.1-42,95,493
CP048236.1-43,43,980
CP048236.1-44,93,511
CP048236.1-45,28,1121
CP048236.1-46,55,855
CP048236.1-47,196,121
CP048236.1-48,32,1091
CP048236.1-49,46,938
CP048236.1-50,55,856
CP048236.1-51,151,224
CP048236.1-52,52,884
CP048236.1-53,81,609
CP048236.1-54,57,834
CP048236.1-55,109,417
CP048236.1-56,64,771
CP048236.1-57,141,254
CP048236.1-58,93,512
CP048236.1-59,98,472
CP048236.1-60,95,494
CP048236.1-61,16,1191
CP048236.1-62,56,845
CP048236.1-63,117,371
CP048236.1-64,137,277
CP048236.1-65,39,1032
CP048236.1-66,75,650
CP048236.1-67,63,779
CP048236.1-68,30,1109
CP048236.1-69,43,981
CP048236.1-70,168,177
CP048236.1-71,53,871
CP048236.1-72,41,1006
CP048236.1-73,104,439
CP048236.1-74,74,668
CP048236.1-75,31,1097
CP048236.1-76,23,1155
CP048236.1-77,100,463
CP048236.1-78,52,885
CP048236.1-79,56,846
CP048236.1-80,14,1200
CP048236.1-81,53,872
CP048236.1-82,97,478
CP048236.1-83,67,738
CP048236.1-84,80,615
CP048236.1-85,5,1234
CP048236.1-86,95,495
CP048236.1-87,132,301
CP048236.1-88,68,723
CP048236.1-89,100,464
CP048236.1-90,42,992
CP048236.1-91,85,577
CP048236.1-92,116,376
CP048236.1-93,151,225
CP048236.1-94,60,808
CP048236.1-95,27,1128
CP048236.1-96,97,479
CP048236.1-97,20,1172
CP048236.1-98,122,342
CP048236.1-99,22,1163
CP048236.1-100,9,1221
CP048237.1-0,2,1248
CP048237.1-1,1,1256
CP048237.1-2,78,632
CP048237.1-3,93,513
CP048237.1-4,103,444
CP048237.1-5,63,780
CP048237.1-6,32,1092
CP048237.1-7,151,226
CP048237.1-8,97,480
CP048237.1-9,37,1048
CP048237.1-10,44,972
CP048237.1-11,57,835
CP048237.1-12,42,993
CP048237.1-13,67,739
CP048237.1-14,66,755
CP048237.1-15,33,1076
CP048237.1-16,30,1110
CP048237.1-17,59,817
CP048237.1-18,73,677
CP048237.1-19,89,539
CP048237.1-20,61,798
CP048237.1-21,59,818
CP048237.1-22,72,688
CP048237.1-23,64,772
CP048237.1-24,132,302
CP048237.1-25,63,781
CP048237.1-26,24,1150
CP048237.1-27,29,1117
CP048237.1-28,65,762
CP048237.1-29,31,1098
CP048237.1-30,24,1151
CP048237.1-31,27,1129
CP048237.1-32,93,514
CP048237.1-33,46,939
CP048237.1-34,95,496
CP048237.1-35,82,602
CP048237.1-36,70,711
CP048237.1-37,41,1007
CP048237.1-38,152,220
CP048237.1-39,127,320
CP048237.1-40,157,206
CP048237.1-41,32,1093
CP048237.1-42,52,886
CP048237.1-43,49,909
CP048237.1-44,76,644
CP048237.1-45,26,1135
