Bin index,combined_parent_hits.T102400,combined_parent_hits.T102400 rank
CP048241.1-116,132,308
CP048241.1-117,165,181
CP048241.1-118,80,620
CP048241.1-119,122,344
CP048241.1-120,87,563
CP048241.1-121,40,1026
CP048241.1-122,41,1013
CP048241.1-123,121,348
CP048241.1-124,201,112
CP048241.1-125,147,235
CP048241.1-126,111,407
CP048241.1-127,103,449
CP048241.1-128,119,359
CP048241.1-129,52,892
CP048241.1-130,71,705
CP048241.1-131,75,657
CP048241.1-132,176,156
CP048241.1-133,84,588
CP048241.1-134,214,98
CP048241.1-135,375,17
CP048241.1-136,266,51
CP048241.1-137,209,105
CP048241.1-138,337,27
CP048241.1-139,241,64
CP048241.1-140,70,715
CP048241.1-141,86,574
CP048241.1-142,36,1056
CP048241.1-143,161,195
CP048241.1-144,19,1179
CP048241.1-145,140,264
CP048241.1-146,143,248
CP048241.1-147,224,79
CP048241.1-148,128,319
CP048241.1-149,200,115
CP048241.1-150,87,564
CP048241.1-151,113,397
CP048241.1-152,89,545
CP048241.1-153,68,730
CP048241.1-154,200,116
CP048241.1-155,51,897
CP048241.1-156,87,565
CP048241.1-157,62,791
CP048241.1-158,23,1161
CP048241.1-159,49,923
CP048241.1-160,65,764
CP048241.1-161,57,839
CP048241.1-162,59,823
CP048241.1-163,31,1105
CP048241.1-164,41,1014
CP048241.1-165,32,1094
CP048241.1-166,28,1126
CP048241.1-167,63,786
CP048241.1-168,49,924
CP048241.1-169,18,1184
CP048241.1-170,4,1240
CP048241.1-171,74,672
CP048241.1-172,83,596
CP048241.1-173,65,765
CP048241.1-174,26,1141
CP048241.1-175,41,1015
CP048241.1-176,66,756
CP048241.1-177,32,1095
CP048241.1-178,33,1084
CP048241.1-179,67,747
CP048241.1-180,44,975
CP048241.1-181,13,1209
CP048241.1-182,6,1230
CP048241.1-183,46,949
CP048241.1-184,19,1180
CP048242.1-0,3,1246
CP048242.1-1,4,1241
CP048242.1-2,42,1000
CP048242.1-3,118,366
CP048242.1-4,61,804
CP048242.1-5,101,462
CP048242.1-6,87,566
CP048242.1-7,100,467
CP048242.1-8,26,1142
CP048242.1-9,73,681
CP048242.1-10,86,575
CP048242.1-11,35,1066
CP048242.1-12,38,1042
CP048242.1-13,71,706
CP048242.1-14,25,1145
CP048242.1-15,34,1072
CP048242.1-16,72,693
CP048242.1-17,55,859
CP048242.1-18,62,792
CP048242.1-19,69,721
CP048242.1-20,54,866
CP048242.1-21,66,757
CP048242.1-22,67,748
CP048242.1-23,146,239
CP048242.1-24,42,1001
CP048242.1-25,32,1096
CP048242.1-26,99,471
CP048242.1-27,50,904
CP048242.1-28,46,950
CP048242.1-29,80,621
CP048242.1-30,57,840
CP048242.1-31,106,436
CP048242.1-32,43,987
CP048242.1-33,120,354
CP048242.1-34,25,1146
CP048242.1-35,30,1112
CP048242.1-36,51,898
CP048242.1-37,60,812
CP048242.1-38,96,489
CP048242.1-39,82,605
CP048242.1-40,61,805
CP048242.1-41,63,787
CP048242.1-42,8,1224
CP048242.1-43,39,1036
CP048242.1-44,47,935
CP048242.1-45,25,1147
CP048242.1-46,74,673
CP048242.1-47,40,1027
CP048242.1-48,60,813
CP048242.1-49,18,1185
CP048242.1-50,40,1028
CP048242.1-51,36,1057
CP048242.1-52,34,1073
CP048242.1-53,96,490
CP048242.1-54,75,658
CP048242.1-55,45,964
CP048242.1-56,40,1029
CP048242.1-57,25,1148
CP048242.1-58,79,627
CP048242.1-59,24,1154
CP048242.1-60,79,628
CP048242.1-61,79,629
CP048242.1-62,83,597
CP048242.1-63,81,613
CP048242.1-64,36,1058
CP048242.1-65,67,749
CP048242.1-66,136,281
CP048242.1-67,58,829
CP048242.1-68,68,731
CP048242.1-69,52,893
CP048242.1-70,65,766
CP048242.1-71,43,988
CP048242.1-72,41,1016
CP048242.1-73,41,1017
CP048242.1-74,103,450
CP048242.1-75,177,152
CP048242.1-76,63,788
CP048242.1-77,110,415
CP048242.1-78,71,707
CP048242.1-79,54,867
CP048242.1-80,118,367
CP048242.1-81,49,925
CP048242.1-82,58,830
CP048242.1-83,19,1181
CP048242.1-84,55,860
CP048242.1-85,201,113
CP048242.1-86,261,56
CP048242.1-87,89,546
CP048242.1-88,195,125
CP048242.1-89,89,547
CP048242.1-90,61,806
CP048242.1-91,89,548
CP048242.1-92,16,1194
CP048242.1-93,85,581
CP048242.1-94,52,894
CP048242.1-95,97,484
CP048242.1-96,71,708
CP048242.1-97,118,368
CP048242.1-98,62,793
CP048242.1-99,152,221
CP048242.1-100,167,179
CP048242.1-101,201,114
CP048242.1-102,98,476
CP048242.1-103,198,120
CP048242.1-104,126,328
CP048242.1-105,471,7
CP048242.1-106,109,420
CP048242.1-107,127,325
CP048242.1-108,124,337
CP048242.1-109,196,124
CP048242.1-110,121,349
CP048242.1-111,96,491
CP048242.1-112,75,659
CP048242.1-113,122,345
CP048242.1-114,20,1174
CP048242.1-115,17,1189
CP048242.1-116,43,989
CP048242.1-117,323,31
CP048242.1-118,74,674
CP048242.1-119,54,868
CP048242.1-120,177,153
CP048242.1-121,103,451
CP048242.1-122,72,694
CP048242.1-123,30,1113
CP048242.1-124,165,182
CP048242.1-125,100,468
CP048242.1-126,51,899
CP048242.1-127,86,576
CP048242.1-128,80,622
CP048242.1-129,37,1052
CP048242.1-130,184,137
CP048242.1-131,154,215
CP048242.1-132,53,881
CP048242.1-133,12,1214
CP048242.1-134,104,442
CP048242.1-135,51,900
CP048242.1-136,87,567
CP048242.1-137,34,1074
CP048242.1-138,50,905
CP048242.1-139,83,598
CP048242.1-140,67,750
CP048242.1-141,22,1164
CP048242.1-142,10,1220
CP048242.1-143,0,1264
CP048242.1-144,0,1265
CP048242.1-145,0,1266
CP048242.1-146,0,1267
CP048242.1-147,0,1268
CP048242.1-148,1,1259
